Roku PE Ratio Historical Data,Roku PE Ratio Historical Data,Roku PE Ratio Historical Data,Roku PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,76.95,,0.0
2024-06-30,59.93,$-3.47,0.0
2024-03-31,65.17,$-3.99,0.0
2023-12-31,91.66,$-5.02,0.0
2023-09-30,70.59,$-6.17,0.0
2023-06-30,63.96,$-4.72,0.0
2023-03-31,65.82,$-4.78,0.0
2022-12-31,40.7,$-3.59,0.0
2022-09-30,56.4,$-1.72,0.0
2022-06-30,82.14,$-0.36,0.0
2022-03-31,125.27,$0.98,127.83
2021-12-31,228.2,$1.71,133.45
2021-09-30,313.35,$2.03,154.36
2021-06-30,459.25,$1.64,280.03
2021-03-31,325.77,$0.77,423.08
2020-12-31,332.02,$-0.22,0.0
2020-09-30,188.8,$-0.84,0.0
2020-06-30,116.53,$-1.15,0.0
2020-03-31,87.48,$-0.88,0.0
2019-12-31,133.9,$-0.52,0.0
2019-09-30,101.76,$-0.34,0.0
2019-06-30,90.58,$-0.21,0.0
2019-03-31,64.51,$-0.13,0.0
2018-12-31,30.64,$-0.11,0.0
2018-09-30,73.03,$-0.10,0.0
2018-06-30,42.62,$-8.80,0.0
