Steelcase PE Ratio Historical Data,Steelcase PE Ratio Historical Data,Steelcase PE Ratio Historical Data,Steelcase PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.21,,12.46
2024-08-31,14.04,$1.06,13.24
2024-05-31,13.46,$0.76,17.7
2024-02-29,13.43,$0.68,19.75
2023-11-30,11.94,$0.63,18.96
2023-08-31,8.72,$0.47,18.55
2023-05-31,6.16,$0.41,15.02
2023-02-28,7.38,$0.30,24.59
2022-11-30,7.33,$0.15,48.86
2022-08-31,10.19,$0.13,78.42
2022-05-31,11.03,$0.17,64.86
2022-02-28,10.81,$0.03,360.42
2021-11-30,9.81,$0.11,89.22
2021-08-31,12.22,$0.05,244.39
2021-05-31,12.43,$0.31,40.09
2021-02-28,11.89,$0.22,54.04
2020-11-30,10.29,$0.71,14.49
2020-08-31,8.77,$1.15,7.62
2020-05-31,9.62,$1.18,8.15
2020-02-29,13.37,$1.66,8.05
2019-11-30,14.83,$1.30,11.41
2019-08-31,12.61,$1.15,10.96
2019-05-31,12.91,$1.06,12.18
2019-02-28,13.96,$1.05,13.3
2018-11-30,12.8,$0.86,14.88
2018-08-31,11.45,$0.77,14.87
2018-05-31,11.18,$0.67,16.69
2018-02-28,10.5,$0.68,15.44
2017-11-30,11.59,$0.89,13.02
2017-08-31,9.98,$1.01,9.88
2017-05-31,12.55,$1.01,12.43
2017-02-28,11.9,$1.02,11.67
2016-11-30,11.49,$1.43,8.03
2016-08-31,10.94,$1.37,7.99
2016-05-31,11.59,$1.36,8.52
2016-02-29,9.0,$1.38,6.52
2015-11-30,14.29,$0.85,16.82
2015-08-31,12.52,$0.81,15.46
2015-02-28,13.14,$0.68,19.33
2014-11-30,12.23,$0.69,17.72
2014-08-31,10.89,$0.76,14.32
2014-05-31,11.29,$0.70,16.12
2014-02-28,10.18,$0.75,13.57
2015-05-31,12.15,$0.66,18.4
2013-11-30,11.11,$0.28,39.66
2013-08-31,9.81,$0.28,35.05
2013-05-31,9.29,$0.29,32.04
2013-02-28,9.43,$0.29,32.51
2012-11-30,7.69,$0.62,12.41
2012-08-31,6.35,$0.61,10.41
2012-05-31,5.68,$0.47,12.09
2012-02-29,5.64,$0.43,13.11
2011-11-30,4.99,$0.40,12.48
2011-08-31,5.23,$0.37,14.12
2011-05-31,6.82,$0.30,22.75
2011-02-28,6.06,$0.16,37.9
2010-11-30,5.96,$-0.02,0.0
2010-08-31,3.84,$-0.16,0.0
2010-05-31,5.16,$-0.18,0.0
2010-02-28,4.02,$-0.10,0.0
2009-11-30,3.32,$-0.49,0.0
