DigitalBridge PE Ratio Historical Data,DigitalBridge PE Ratio Historical Data,DigitalBridge PE Ratio Historical Data,DigitalBridge PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.89,,7.46
2024-06-30,13.69,$2.13,6.43
2024-03-31,19.24,$1.55,12.41
2023-12-31,17.51,$0.49,35.73
2023-09-30,17.54,$-0.21,0.0
2023-06-30,14.66,$-1.99,0.0
2023-03-31,11.94,$-2.09,0.0
2022-12-31,10.89,$-2.59,0.0
2022-09-30,12.44,$-2.63,0.0
2022-06-30,19.4,$-1.92,0.0
2022-03-31,28.62,$-2.84,0.0
2021-12-31,33.11,$-3.24,0.0
2021-09-30,23.97,$-4.28,0.0
2021-06-30,31.4,$-6.36,0.0
2021-03-31,25.76,$-22.52,0.0
2020-12-31,19.12,$-23.32,0.0
2020-09-30,10.85,$-22.32,0.0
2020-06-30,9.54,$-24.96,0.0
2020-03-31,6.96,$-11.56,0.0
2019-12-31,17.81,$-9.36,0.0
2019-09-30,22.06,$-12.44,0.0
2019-06-30,17.98,$-8.64,0.0
2019-03-31,18.72,$-5.48,0.0
2018-12-31,16.14,$-5.20,0.0
2018-09-30,20.52,$-4.68,0.0
2018-06-30,20.65,$-4.08,0.0
2018-03-31,18.28,$-3.04,0.0
2017-12-31,36.4,$-2.52,0.0
2017-09-30,39.15,$0.00,0.0
2017-06-30,42.99,$0.52,82.68
2017-03-31,38.65,$0.48,80.51
2016-12-31,40.48,$0.88,46.0
2016-09-30,34.83,$1.52,22.91
2016-06-30,27.27,$1.84,14.82
2016-03-31,30.07,$2.36,12.74
2015-12-31,31.88,$2.44,13.07
2015-09-30,37.42,$2.76,13.56
2015-06-30,47.92,$2.32,20.65
2015-03-31,60.21,$1.08,55.75
