Pebblebrook Hotel Trust PE Ratio Historical Data,Pebblebrook Hotel Trust PE Ratio Historical Data,Pebblebrook Hotel Trust PE Ratio Historical Data,Pebblebrook Hotel Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,12.69,,0.0
2024-06-30,13.74,$-1.10,0.0
2024-03-31,15.39,$-1.02,0.0
2023-12-31,15.95,$-0.97,0.0
2023-09-30,13.55,$-0.94,0.0
2023-06-30,13.89,$-0.27,0.0
2023-03-31,13.98,$-0.39,0.0
2022-12-31,13.32,$-0.97,0.0
2022-09-30,14.43,$-1.04,0.0
2022-06-30,16.47,$-1.48,0.0
2022-03-31,24.31,$-1.67,0.0
2021-12-31,22.21,$-1.80,0.0
2021-09-30,22.24,$-2.78,0.0
2021-06-30,23.36,$-3.50,0.0
2021-03-31,24.08,$-4.49,0.0
2020-12-31,18.63,$-3.25,0.0
2020-09-30,12.41,$-1.78,0.0
2020-06-30,13.52,$-0.55,0.0
2020-03-31,10.77,$0.91,11.83
2019-12-31,26.49,$0.63,42.05
2019-09-30,27.1,$-0.61,0.0
2019-06-30,27.08,$-0.41,0.0
2019-03-31,29.45,$-0.03,0.0
2018-12-31,26.52,$0.28,94.7
2018-09-30,33.67,$1.55,21.72
2018-06-30,35.55,$1.56,22.79
2018-03-31,31.16,$1.35,23.08
2017-12-31,33.35,$1.20,27.8
2017-09-30,32.11,$1.29,24.89
2017-06-30,28.34,$0.30,94.48
2017-03-31,25.39,$0.69,36.79
2016-12-31,25.52,$0.64,39.87
2016-09-30,22.52,$0.67,33.62
2016-06-30,21.91,$1.71,12.81
2016-03-31,23.89,$1.02,23.43
2015-12-31,22.73,$0.94,24.18
2015-09-30,28.45,$0.84,33.87
2015-06-30,34.11,$0.77,44.3
2015-03-31,36.78,$0.76,48.4
2014-12-31,35.8,$0.72,49.72
2014-09-30,29.15,$0.67,43.51
2014-06-30,28.68,$0.49,58.53
2014-03-31,26.04,$0.37,70.39
2013-12-31,23.56,$0.32,73.62
2013-09-30,21.87,$0.28,78.12
2013-06-30,19.59,$0.23,85.16
2013-03-31,19.42,$0.19,102.23
2012-12-31,17.29,$0.13,133.0
2012-09-30,17.42,$0.16,108.85
2012-06-30,17.27,$0.08,215.85
2012-03-31,16.64,$0.01,1663.98
2011-12-31,14.06,$0.06,234.33
2011-09-30,11.4,$-0.06,0.0
2011-06-30,14.59,$-0.12,0.0
2011-03-31,15.91,$-0.34,0.0
2010-12-31,14.52,$-0.28,0.0
2010-09-30,12.79,$-0.23,0.0
