Applied Industrial Technologies PE Ratio Historical Data,Applied Industrial Technologies PE Ratio Historical Data,Applied Industrial Technologies PE Ratio Historical Data,Applied Industrial Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,235.15,,23.92
2024-06-30,193.64,$9.83,19.7
2024-03-31,196.81,$9.54,20.63
2023-12-31,171.71,$9.53,18.02
2023-09-30,153.73,$9.26,16.6
2023-06-30,143.68,$8.84,16.25
2023-03-31,140.62,$8.51,16.52
2022-12-31,124.38,$7.79,15.97
2022-09-30,101.17,$7.20,14.05
2022-06-30,94.38,$6.59,14.32
2022-03-31,100.42,$6.08,16.52
2021-12-31,100.11,$5.75,17.41
2021-09-30,87.58,$4.15,21.1
2021-06-30,88.16,$3.56,24.76
2021-03-31,87.98,$-0.09,0.0
2020-12-31,74.95,$-0.54,0.0
2020-06-30,59.4,$0.60,98.99
2020-03-31,43.25,$0.85,50.88
2019-12-31,62.8,$3.88,16.19
2019-09-30,53.22,$3.33,15.98
2019-06-30,57.32,$3.32,17.26
2020-09-30,52.72,$3.54,14.89
2019-03-31,55.09,$3.68,14.97
2018-12-31,49.7,$4.19,11.86
2018-09-30,71.77,$3.99,17.99
2018-06-30,64.09,$3.61,17.75
2018-03-31,66.31,$3.92,16.92
2017-12-31,61.68,$3.74,16.49
2017-09-30,59.32,$3.56,16.66
2017-06-30,52.95,$3.40,15.57
2017-03-31,55.21,$2.72,20.3
2016-12-31,52.78,$0.83,63.58
2016-09-30,41.31,$0.83,49.77
2016-06-30,39.67,$0.74,53.61
2016-03-31,37.9,$0.78,48.59
2015-12-31,35.11,$2.62,13.4
2015-09-30,32.86,$2.73,12.04
2015-06-30,33.92,$2.82,12.03
2015-03-31,38.54,$2.83,13.62
2014-12-31,38.5,$2.85,13.51
2014-09-30,38.36,$2.74,14.0
2014-06-30,42.41,$2.67,15.88
2014-03-31,40.11,$2.72,14.75
2013-12-31,40.61,$2.69,15.1
2013-09-30,42.4,$2.72,15.59
2013-06-30,39.61,$2.79,14.2
2013-03-31,36.69,$2.78,13.2
2012-12-31,34.08,$2.78,12.26
2012-09-30,33.42,$2.63,12.71
2012-06-30,29.58,$2.54,11.64
2012-03-31,32.83,$2.44,13.45
2011-12-31,27.93,$2.36,11.83
2011-09-30,21.45,$2.36,9.09
2011-06-30,27.92,$2.39,11.68
2011-03-31,25.94,$2.13,12.18
2010-12-31,25.2,$1.76,14.32
2010-06-30,19.42,$1.53,12.69
2010-03-31,18.96,$0.70,27.09
2009-12-31,16.73,$0.79,21.17
2009-09-30,15.92,$0.82,19.41
