Nurix Therapeutics PE Ratio Historical Data,Nurix Therapeutics PE Ratio Historical Data,Nurix Therapeutics PE Ratio Historical Data,Nurix Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.72,,0.0
2024-08-31,25.2,$-2.91,0.0
2024-05-31,15.75,$-2.92,0.0
2024-02-29,12.35,$-2.66,0.0
2023-11-30,6.22,$-2.65,0.0
2023-08-31,8.5,$-2.75,0.0
2023-05-31,10.12,$-2.97,0.0
2023-02-28,9.43,$-3.53,0.0
2022-11-30,12.39,$-3.73,0.0
2022-08-31,15.73,$-3.71,0.0
2022-05-31,10.09,$-3.46,0.0
2022-02-28,16.17,$-3.05,0.0
2021-11-30,28.82,$-2.73,0.0
2021-08-31,32.19,$-2.39,0.0
2021-05-31,27.9,$-2.33,0.0
