PC Connection PE Ratio Historical Data,PC Connection PE Ratio Historical Data,PC Connection PE Ratio Historical Data,PC Connection PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,75.01,,22.32
2024-06-30,64.11,$3.36,19.08
2024-03-31,65.73,$3.12,21.07
2023-12-31,66.91,$3.16,21.17
2023-09-30,53.07,$2.97,17.87
2023-06-30,44.77,$2.88,15.54
2023-03-31,44.54,$3.09,14.42
2022-12-31,46.38,$3.38,13.72
2022-09-30,44.32,$3.52,12.59
2022-06-30,43.29,$3.40,12.73
2022-03-31,51.49,$3.10,16.61
2021-12-31,42.39,$2.66,15.94
2021-09-30,42.36,$2.43,17.43
2021-06-30,44.52,$2.31,19.27
2021-03-31,44.63,$1.94,23.01
2020-12-31,45.21,$2.11,21.43
2020-09-30,39.25,$2.32,16.92
2020-06-30,44.32,$2.58,17.18
2020-03-31,39.4,$3.18,12.39
2019-12-31,47.47,$3.10,15.31
2019-09-30,36.96,$3.07,12.04
2019-06-30,33.23,$2.68,12.4
2019-03-31,34.84,$2.47,14.1
2018-12-31,28.25,$2.41,11.72
2018-09-30,36.54,$2.38,15.35
2018-06-30,31.2,$2.36,13.22
2018-03-31,23.49,$2.19,10.73
2017-12-31,24.63,$2.05,12.01
2017-09-30,26.15,$1.77,14.78
2017-06-30,25.1,$1.79,14.02
2017-03-31,27.64,$1.75,15.79
2016-12-31,26.06,$1.81,14.4
2016-09-30,24.21,$1.83,13.23
2016-06-30,21.81,$1.81,12.05
2016-03-31,23.66,$1.78,13.29
2015-12-31,20.75,$1.76,11.79
2015-09-30,18.66,$1.70,10.98
2015-06-30,22.27,$1.67,13.34
2015-03-31,23.49,$1.66,14.15
2014-12-31,22.1,$1.61,13.73
2014-09-30,19.0,$1.53,12.42
2014-06-30,18.3,$1.47,12.45
2014-03-31,17.98,$1.39,12.93
2013-12-31,21.99,$1.35,16.29
2013-09-30,13.12,$1.31,10.02
2013-06-30,13.43,$1.28,10.5
2013-03-31,14.22,$1.26,11.28
2012-12-31,10.0,$1.24,8.06
2012-09-30,9.66,$1.19,8.12
2012-06-30,8.92,$1.17,7.62
2012-03-31,6.9,$1.12,6.16
2011-12-31,9.31,$1.08,8.62
2011-09-30,6.46,$1.06,6.09
2011-06-30,6.7,$1.03,6.51
2011-03-31,7.17,$0.93,7.71
2010-12-31,7.17,$0.85,8.44
2010-09-30,5.53,$0.74,7.47
2010-06-30,4.91,$0.53,9.25
2010-03-31,5.02,$0.11,45.62
2009-12-31,5.46,$-0.04,0.0
