Viavi Solutions PE Ratio Historical Data,Viavi Solutions PE Ratio Historical Data,Viavi Solutions PE Ratio Historical Data,Viavi Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.33,,0.0
2024-06-30,6.87,$-0.12,0.0
2024-03-31,9.09,$-0.02,0.0
2023-12-31,10.07,$0.02,503.5
2023-09-30,9.14,$0.01,0.0
2023-06-30,11.33,$0.11,103.0
2023-03-31,10.83,$0.18,60.17
2022-12-31,10.51,$0.33,31.85
2022-09-30,13.05,$0.43,30.35
2022-06-30,13.23,$0.05,264.6
2022-03-31,16.08,$-0.03,0.0
2021-12-31,17.62,$-0.06,0.0
2021-09-30,15.74,$-0.11,0.0
2021-06-30,17.66,$0.19,92.95
2021-03-31,15.7,$0.32,49.06
2020-12-31,14.98,$0.13,115.19
2020-09-30,11.73,$0.16,73.31
2020-06-30,12.74,$0.13,98.0
2020-03-31,11.21,$0.06,186.83
2019-12-31,15.0,$0.18,83.33
2019-09-30,14.01,$0.12,116.71
2019-06-30,13.29,$0.02,664.5
2019-03-31,12.38,$-0.16,0.0
2018-12-31,10.05,$-0.18,0.0
2018-09-30,11.34,$-0.26,0.0
2018-06-30,10.24,$-0.21,0.0
2018-03-31,9.72,$-0.02,0.0
2017-12-31,8.74,$0.13,67.23
2017-09-30,9.46,$0.36,26.28
2017-06-30,10.53,$0.71,14.83
2017-03-31,10.72,$0.35,30.63
2016-12-31,8.18,$0.38,21.53
2016-09-30,7.39,$0.20,36.95
2016-06-30,6.63,$-0.41,0.0
