DraftKings PE Ratio Historical Data,DraftKings PE Ratio Historical Data,DraftKings PE Ratio Historical Data,DraftKings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,37.65,,0.0
2024-06-30,38.17,$-0.89,0.0
2024-03-31,45.41,$-1.18,0.0
2023-12-31,35.25,$-1.75,0.0
2023-09-30,29.44,$-2.18,0.0
2023-06-30,26.57,$-2.57,0.0
2023-03-31,19.36,$-2.90,0.0
2022-12-31,11.39,$-3.17,0.0
2022-09-30,15.14,$-3.44,0.0
2022-06-30,11.67,$-3.79,0.0
2022-03-31,19.47,$-4.05,0.0
2021-12-31,27.47,$-3.78,0.0
2021-09-30,48.16,$-3.67,0.0
2021-06-30,52.17,$-3.30,0.0
2021-03-31,61.33,$-2.72,0.0
2020-12-31,46.56,$-1.85,0.0
2020-09-30,58.84,$-1.16,0.0
2020-03-31,12.34,$-0.73,0.0
