SEI Investments PE Ratio Historical Data,SEI Investments PE Ratio Historical Data,SEI Investments PE Ratio Historical Data,SEI Investments PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,73.36,,19.2
2024-06-30,64.69,$3.82,16.93
2024-03-31,71.39,$3.66,19.51
2023-12-31,63.1,$3.50,18.03
2023-09-30,59.38,$3.04,19.53
2023-06-30,58.78,$2.98,19.72
2022-12-31,57.06,$3.45,16.54
2022-09-30,47.66,$3.65,13.06
2022-06-30,52.48,$3.99,13.15
2022-03-31,58.08,$4.15,13.99
2021-12-31,58.78,$3.72,15.8
2023-03-31,56.33,$3.58,15.73
2021-09-30,56.81,$3.65,15.56
2021-06-30,59.37,$3.43,17.31
2021-03-31,58.03,$3.22,18.02
2020-12-31,54.73,$3.17,17.27
2020-09-30,47.99,$3.17,15.14
2020-03-31,43.57,$3.24,13.45
2019-12-31,61.57,$3.25,18.94
2019-09-30,55.42,$3.14,17.65
2019-06-30,52.47,$2.96,17.73
2019-03-31,48.58,$2.94,16.52
2018-12-31,42.95,$2.96,14.51
2020-06-30,52.02,$3.09,16.83
2018-09-30,56.39,$3.16,17.84
2018-06-30,57.7,$2.99,19.3
2018-03-31,68.82,$2.81,24.49
2017-12-31,66.02,$2.50,26.41
2017-09-30,55.86,$2.30,24.29
2017-06-30,49.2,$2.20,22.36
2017-03-31,45.9,$2.12,21.65
2016-12-31,44.91,$2.04,22.02
2016-09-30,41.27,$1.97,20.95
2016-06-30,43.53,$1.91,22.79
2016-03-31,38.75,$1.93,20.08
2015-12-31,47.16,$1.96,24.06
2015-09-30,43.2,$1.93,22.38
2015-06-30,43.91,$1.95,22.52
2015-03-31,39.3,$1.92,20.47
2014-12-31,35.69,$1.85,19.29
2014-09-30,32.04,$1.77,18.1
2014-06-30,29.03,$1.66,17.49
2014-03-31,29.58,$1.65,17.93
2013-12-31,30.56,$1.63,18.75
2013-09-30,27.03,$1.58,17.11
2013-06-30,24.86,$1.49,16.68
2013-03-31,25.05,$1.30,19.27
2012-12-31,20.27,$1.17,17.32
2012-09-30,18.24,$1.10,16.58
2012-06-30,16.92,$1.08,15.66
2012-03-31,17.45,$1.09,16.01
2011-12-31,14.64,$1.12,13.07
2011-09-30,12.86,$1.20,10.72
2011-06-30,18.83,$1.23,15.31
2011-03-31,19.86,$1.22,16.28
2010-12-31,19.79,$1.22,16.22
2010-09-30,16.85,$1.13,14.91
2010-06-30,16.86,$1.10,15.33
2010-03-31,18.11,$1.04,17.42
2009-12-31,14.44,$0.91,15.87
