Valhi PE Ratio Historical Data,Valhi PE Ratio Historical Data,Valhi PE Ratio Historical Data,Valhi PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,35.69,,39.66
2024-06-30,17.78,$0.90,19.75
2024-03-31,17.06,$0.02,853.02
2023-12-31,15.0,$-0.42,0.0
2023-09-30,13.02,$-0.89,0.0
2023-06-30,12.54,$0.24,52.26
2023-03-31,16.89,$1.40,12.06
2022-12-31,21.26,$3.16,6.73
2022-09-30,24.22,$5.32,4.55
2022-06-30,43.55,$5.76,7.56
2022-03-31,28.11,$5.53,5.08
2021-12-31,27.49,$4.46,6.16
2021-09-30,22.24,$3.49,6.37
2021-06-30,23.11,$2.67,8.66
2021-03-31,19.43,$1.60,12.14
2020-12-31,14.34,$1.92,7.47
2020-09-30,12.35,$1.42,8.7
2020-06-30,9.78,$1.36,7.19
2020-03-31,11.45,$1.92,5.96
2019-12-31,20.47,$1.68,12.18
2019-09-30,20.57,$2.04,10.08
2019-06-30,31.83,$6.60,4.82
2019-03-31,24.52,$6.72,3.65
2018-12-31,20.38,$11.04,1.85
2018-09-30,23.85,$11.88,2.01
2018-06-30,49.49,$7.20,6.87
2017-12-31,63.75,$7.32,8.71
2017-09-30,25.04,$2.76,9.07
2017-06-30,30.42,$4.32,7.04
2017-03-31,33.29,$4.08,8.16
2016-12-31,34.9,$3.36,10.38
2018-03-31,62.8,$2.28,27.53
2016-09-30,23.04,$-2.04,0.0
2016-06-30,15.61,$-2.52,0.0
2016-03-31,11.62,$-5.88,0.0
2015-12-31,13.03,$-4.68,0.0
2015-09-30,18.18,$-3.12,0.0
2015-06-30,53.99,$-1.80,0.0
2015-03-31,59.24,$2.40,24.67
2014-12-31,60.76,$1.92,31.63
2014-09-30,61.69,$2.16,28.55
2014-06-30,60.5,$-0.00,0.0
2014-03-31,82.82,$-2.04,0.0
2013-12-31,164.32,$-3.48,0.0
2013-09-30,185.92,$-3.96,0.0
2013-06-30,127.66,$-1.92,0.0
2013-03-31,148.65,$1.08,137.58
2012-12-31,115.43,$5.64,20.46
2012-09-30,112.19,$7.48,14.99
2012-06-30,114.39,$9.16,12.48
2012-03-31,161.37,$9.44,17.09
2011-12-31,183.48,$7.64,24.01
2011-09-30,164.02,$6.28,26.11
2011-06-30,150.07,$4.28,35.05
2011-03-31,79.43,$2.60,30.54
2010-12-31,66.32,$1.76,37.67
2010-09-30,60.63,$1.04,58.27
2010-06-30,36.65,$0.80,45.79
2010-03-31,58.05,$-0.00,0.0
2009-12-31,40.99,$-1.20,0.0
