Freedom Holding PE Ratio Historical Data,Freedom Holding PE Ratio Historical Data,Freedom Holding PE Ratio Historical Data,Freedom Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,105.37,,18.39
2024-06-30,75.4,$5.73,13.16
2024-03-31,70.57,$6.31,11.18
2023-12-31,80.6,$4.73,17.04
2023-09-30,84.71,$4.46,18.99
2023-06-30,80.82,$2.95,27.4
2023-03-31,71.86,$2.79,25.76
2022-12-31,58.22,$2.79,20.87
2022-09-30,49.11,$2.28,21.54
2022-06-30,44.35,$5.28,8.4
2022-03-31,59.6,$5.16,11.55
2021-12-31,69.33,$6.07,11.42
2021-09-30,62.79,$5.94,10.57
2021-06-30,65.15,$2.90,22.47
2021-03-31,53.36,$2.45,21.78
2020-12-31,51.31,$1.56,32.89
2020-09-30,23.97,$0.91,26.34
