Tower Semiconductor PE Ratio Historical Data,Tower Semiconductor PE Ratio Historical Data,Tower Semiconductor PE Ratio Historical Data,Tower Semiconductor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,43.82,,9.89
2024-06-30,39.31,$4.43,8.87
2024-03-31,33.45,$4.41,7.59
2023-12-31,30.52,$4.65,6.56
2023-09-30,24.56,$4.92,4.99
2023-06-30,37.52,$2.47,15.19
2023-03-31,42.47,$2.54,16.72
2022-12-31,43.2,$2.39,18.08
2022-09-30,43.94,$2.11,20.82
2022-06-30,46.18,$1.85,24.96
2022-03-31,48.4,$1.60,30.25
2021-12-31,39.68,$1.37,28.96
2021-09-30,29.9,$1.18,25.34
2021-06-30,29.43,$0.96,30.66
2021-03-31,28.04,$0.86,32.6
2020-12-31,25.82,$0.76,33.97
2020-09-30,18.22,$0.67,27.19
2020-06-30,19.09,$0.74,25.8
2020-03-31,15.92,$0.76,20.95
2019-12-31,24.06,$0.85,28.31
2019-09-30,19.24,$1.02,18.86
2019-06-30,15.77,$1.18,13.36
2019-03-31,16.56,$1.24,13.35
2018-12-31,14.74,$2.39,6.17
2018-06-30,22.01,$2.57,8.56
2018-03-31,26.91,$2.69,10.0
2017-12-31,34.08,$2.88,11.83
2017-09-30,30.75,$1.97,15.61
2017-06-30,23.85,$1.76,13.55
2017-03-31,23.05,$1.79,12.88
2016-12-31,19.03,$1.74,10.94
2018-09-30,21.76,$2.03,10.72
2016-09-30,15.18,$1.95,7.78
2016-06-30,12.42,$1.59,7.81
2016-03-31,12.12,$1.28,9.47
2015-12-31,14.06,$-0.65,0.0
2015-09-30,12.87,$-0.89,0.0
2015-06-30,15.44,$-1.42,0.0
2015-03-31,16.98,$-1.82,0.0
2014-12-31,13.33,$0.14,95.21
2014-09-30,10.17,$-0.40,0.0
2014-06-30,9.08,$-0.60,0.0
2014-03-31,9.14,$-0.75,0.0
2013-12-31,5.84,$-2.52,0.0
2013-09-30,4.87,$-2.47,0.0
2013-06-30,4.78,$-2.27,0.0
2013-03-31,7.04,$-2.25,0.0
2012-12-31,7.95,$-2.19,0.0
2012-09-30,8.84,$-2.46,0.0
2012-06-30,9.98,$-2.09,0.0
2012-03-31,13.2,$-1.50,0.0
2011-12-31,9.45,$-0.90,0.0
2011-09-30,9.9,$-0.00,0.0
2011-06-30,17.55,$0.15,117.16
2011-03-31,19.95,$-0.60,0.0
2010-12-31,21.15,$-2.85,0.0
2010-09-30,20.25,$-5.40,0.0
2010-06-30,21.15,$-8.25,0.0
2010-03-31,25.2,$-10.49,0.0
2009-12-31,14.55,$-10.49,0.0
