Charles River Laboratories PE Ratio Historical Data,Charles River Laboratories PE Ratio Historical Data,Charles River Laboratories PE Ratio Historical Data,Charles River Laboratories PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,197.75,,23.68
2024-06-30,206.58,$8.35,24.74
2024-03-31,270.95,$8.50,31.88
2023-12-31,236.4,$9.21,25.67
2023-09-30,195.98,$9.24,21.21
2023-06-30,210.25,$9.43,22.3
2023-03-31,201.82,$9.67,20.87
2022-12-31,217.9,$9.47,23.01
2022-09-30,196.8,$8.49,23.18
2022-06-30,213.97,$8.62,24.82
2022-03-31,283.97,$8.21,34.59
2021-12-31,376.78,$7.60,49.58
2021-09-30,412.67,$7.74,53.32
2021-06-30,369.92,$7.76,47.67
2021-03-31,289.83,$7.38,39.27
2020-12-31,249.86,$7.20,34.7
2020-09-30,226.45,$6.00,37.74
2020-06-30,174.35,$5.43,32.11
2020-03-31,126.21,$4.97,25.39
2019-12-31,152.76,$5.06,30.19
2019-09-30,132.37,$4.66,28.41
2019-06-30,141.9,$4.42,32.1
2019-03-31,145.25,$4.64,31.3
2018-12-31,113.18,$4.61,24.55
2018-09-30,134.54,$2.77,48.57
2018-06-30,112.26,$2.63,42.68
2018-03-31,106.74,$2.65,40.28
2017-12-31,109.45,$2.54,43.09
2017-09-30,108.02,$4.10,26.35
2017-06-30,101.15,$3.81,26.55
2017-03-31,89.95,$3.42,26.3
2016-12-31,76.19,$3.23,23.59
2016-09-30,83.34,$2.97,28.06
2016-06-30,82.44,$2.97,27.76
2016-03-31,75.94,$3.26,23.29
2015-12-31,80.39,$3.14,25.6
2015-09-30,63.52,$3.04,20.89
2015-06-30,70.34,$2.93,24.01
2015-03-31,79.29,$2.65,29.92
2014-12-31,63.64,$2.66,23.92
2014-09-30,59.74,$2.49,23.99
2014-06-30,53.52,$2.45,21.84
2014-03-31,60.34,$2.27,26.58
2013-12-31,53.04,$2.13,24.9
2013-09-30,46.26,$2.11,21.92
2013-06-30,41.03,$1.93,21.26
2013-03-31,44.27,$2.00,22.14
2012-12-31,37.47,$2.01,18.64
2012-09-30,39.6,$2.18,18.17
2012-06-30,32.76,$2.09,15.67
2012-03-31,36.09,$2.09,17.27
2011-12-31,27.33,$2.12,12.89
2011-09-30,28.62,$-4.47,0.0
2011-06-30,40.65,$-5.24,0.0
2011-03-31,38.38,$-5.65,0.0
2010-12-31,35.54,$-5.96,0.0
2010-09-30,33.15,$0.35,94.71
2010-06-30,34.21,$1.32,25.92
2010-03-31,39.31,$1.62,24.27
2009-12-31,33.69,$1.74,19.36
