Altice USA PE Ratio Historical Data,Altice USA PE Ratio Historical Data,Altice USA PE Ratio Historical Data,Altice USA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,2.39,,0.0
2024-06-30,2.04,$-0.13,0.0
2024-03-31,2.61,$0.01,0.0
2023-12-31,3.25,$0.12,27.08
2023-09-30,3.27,$-0.05,0.0
2023-06-30,3.02,$-0.01,0.0
2023-03-31,3.42,$0.05,68.4
2022-12-31,4.6,$0.42,10.95
2022-09-30,5.83,$1.41,4.13
2022-06-30,9.25,$1.80,5.14
2022-03-31,12.48,$2.00,6.24
2021-12-31,16.18,$2.15,7.53
2021-09-30,20.72,$2.19,9.46
2021-06-30,34.14,$1.60,21.34
2021-03-31,32.53,$1.36,23.92
2020-12-31,37.87,$0.78,48.55
2020-09-30,26.0,$0.18,144.44
2020-06-30,22.54,$0.31,72.71
2020-03-31,22.29,$0.25,89.16
2019-12-31,27.34,$0.21,130.19
2019-09-30,28.68,$0.51,56.24
2019-06-30,24.35,$0.43,56.63
2019-03-31,21.48,$0.17,126.35
2018-12-31,16.52,$0.04,413.0
2018-09-30,18.14,$2.80,6.48
2018-06-30,17.06,$2.51,6.8
2018-03-31,16.57,$1.92,8.63
