STMicroelectronics PE Ratio Historical Data,STMicroelectronics PE Ratio Historical Data,STMicroelectronics PE Ratio Historical Data,STMicroelectronics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,27.44,,8.52
2024-06-30,39.16,$3.22,12.16
2024-03-31,43.01,$3.90,11.03
2023-12-31,49.79,$4.46,11.16
2023-09-30,42.82,$4.64,9.23
2023-06-30,49.52,$4.64,10.67
2023-03-31,52.92,$4.50,11.76
2022-12-31,35.15,$4.19,8.39
2022-09-30,30.53,$3.69,8.27
2022-06-30,31.0,$3.04,10.2
2022-03-31,42.5,$2.56,16.6
2021-12-31,48.0,$2.16,22.22
2021-09-30,42.79,$1.97,21.72
2021-06-30,35.63,$1.72,20.72
2021-03-31,37.48,$1.38,27.16
2020-12-31,36.26,$1.20,30.21
2020-09-30,29.94,$1.00,29.94
2020-06-30,26.7,$1.08,24.72
2020-03-31,20.79,$1.16,17.92
2019-12-31,26.08,$1.15,22.68
2019-09-30,18.7,$1.18,15.85
2019-06-30,16.99,$1.25,13.59
2019-03-31,14.26,$1.36,10.49
2018-12-31,13.28,$1.42,9.35
2018-09-30,17.47,$1.30,13.44
2018-06-30,21.0,$1.15,18.26
2018-03-31,21.12,$1.03,20.5
2017-12-31,20.64,$0.89,23.19
2017-09-30,18.3,$0.68,26.91
2017-06-30,13.51,$0.50,27.02
2017-03-31,14.47,$0.36,40.19
2016-12-31,10.58,$0.19,55.69
2016-09-30,7.56,$0.06,125.93
2016-06-30,5.42,$0.08,67.72
2016-03-31,5.08,$0.09,56.43
2015-12-31,5.96,$0.11,54.15
2015-09-30,6.01,$0.16,37.56
2015-06-30,7.05,$0.14,50.37
2015-03-31,7.95,$0.14,56.82
2014-12-31,6.35,$0.14,45.32
2014-09-30,6.44,$0.05,128.82
2014-06-30,7.35,$-0.19,0.0
2014-03-31,7.56,$-0.40,0.0
2013-12-31,6.47,$-0.56,0.0
2013-09-30,7.35,$-1.00,0.0
2013-06-30,7.11,$-1.38,0.0
2013-03-31,6.04,$-1.29,0.0
2012-12-31,5.61,$-1.30,0.0
2012-09-30,4.12,$-0.83,0.0
2012-06-30,4.09,$-0.21,0.0
2012-03-31,5.95,$0.33,18.02
2011-12-31,4.2,$0.72,5.84
2011-09-30,4.54,$0.97,4.68
2011-06-30,6.85,$1.11,6.17
2011-03-31,8.48,$1.04,8.15
2010-12-31,7.09,$0.91,7.79
2010-09-30,5.15,$0.59,8.73
2010-06-30,5.29,$0.14,37.82
2010-03-31,6.55,$-0.61,0.0
2009-12-31,6.14,$-1.29,0.0
