Cassava Sciences PE Ratio Historical Data,Cassava Sciences PE Ratio Historical Data,Cassava Sciences PE Ratio Historical Data,Cassava Sciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,29.58,,0.0
2024-06-30,12.35,$-1.41,0.0
2024-03-31,20.29,$-2.12,0.0
2023-12-31,22.51,$-2.16,0.0
2023-09-30,16.64,$-2.17,0.0
2023-03-31,24.12,$-2.04,0.0
2022-12-31,29.54,$-1.90,0.0
2022-09-30,41.82,$-1.78,0.0
2022-06-30,28.12,$-1.90,0.0
2022-03-31,37.14,$-1.66,0.0
2021-12-31,43.7,$-1.35,0.0
2023-06-30,24.52,$-1.09,0.0
2021-09-30,62.08,$-0.55,0.0
2021-06-30,85.44,$-0.37,0.0
2021-03-31,44.95,$-0.29,0.0
2020-12-31,6.82,$-0.25,0.0
2020-09-30,11.51,$-0.24,0.0
2020-06-30,3.08,$-0.22,0.0
2020-03-31,4.11,$-0.23,0.0
2019-12-31,5.2,$-0.26,0.0
2019-09-30,1.2,$-0.22,0.0
2019-06-30,1.21,$-0.29,0.0
2019-03-31,1.29,$-0.59,0.0
2018-12-31,0.85,$-0.84,0.0
2018-09-30,1.01,$-1.17,0.0
2018-06-30,2.06,$-1.46,0.0
2018-03-31,7.09,$-1.74,0.0
2017-12-31,4.0,$-1.83,0.0
2017-09-30,4.07,$-1.88,0.0
2017-06-30,4.15,$-2.04,0.0
2017-03-31,6.25,$-1.89,0.0
2016-12-31,3.99,$-2.38,0.0
2016-09-30,7.0,$-2.66,0.0
2016-06-30,15.33,$-2.66,0.0
2016-03-31,15.61,$-2.66,0.0
2015-12-31,12.25,$-2.17,0.0
2015-09-30,12.81,$-1.82,0.0
2015-06-30,12.11,$-1.82,0.0
2015-03-31,13.23,$-1.82,0.0
2014-12-31,14.21,$-1.96,0.0
2014-09-30,27.37,$3.43,7.98
2014-06-30,40.25,$3.85,10.46
2014-03-31,38.5,$4.27,9.02
2013-12-31,34.02,$4.76,7.15
2013-09-30,19.04,$-0.56,0.0
2013-06-30,15.47,$-0.63,0.0
2013-03-31,24.01,$-0.56,0.0
2012-12-31,18.97,$-0.49,0.0
2012-09-30,27.27,$-0.28,0.0
2012-06-30,25.32,$-0.21,0.0
2012-03-31,19.55,$-0.42,0.0
2011-12-31,20.52,$-0.42,0.0
2011-09-30,25.7,$-1.82,0.0
2011-06-30,20.9,$-1.82,0.0
2011-03-31,51.62,$-1.75,0.0
2010-12-31,36.45,$-1.89,0.0
2010-09-30,25.59,$-0.49,0.0
2010-06-30,23.02,$-0.56,0.0
2010-03-31,25.96,$-0.42,0.0
2009-12-31,22.19,$-0.56,0.0
