Forestar Group Inc PE Ratio Historical Data,Forestar Group Inc PE Ratio Historical Data,Forestar Group Inc PE Ratio Historical Data,Forestar Group Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.01,,8.57
2024-06-30,31.99,$3.85,8.31
2024-03-31,40.19,$4.02,10.0
2023-12-31,33.07,$3.67,9.01
2023-09-30,26.94,$3.33,8.09
2023-06-30,22.55,$2.91,7.75
2023-03-31,15.56,$2.78,5.6
2022-12-31,15.41,$3.20,4.82
2022-09-30,11.19,$3.59,3.12
2022-06-30,13.69,$3.46,3.96
2022-03-31,17.76,$2.98,5.96
2021-12-31,21.75,$2.61,8.33
2021-09-30,18.63,$2.26,8.24
2021-06-30,20.91,$1.87,11.18
2021-03-31,23.28,$1.76,13.23
2020-12-31,20.18,$1.37,14.73
2020-09-30,17.7,$1.26,14.05
2020-06-30,15.08,$1.06,14.23
2020-03-31,10.35,$1.01,10.25
2019-12-31,20.85,$1.05,19.86
2019-09-30,18.28,$0.78,23.44
2019-06-30,19.55,$0.48,40.73
2019-03-31,17.29,$0.54,32.02
2018-12-31,13.85,$0.41,33.78
2018-09-30,21.2,$0.33,64.24
2018-06-30,20.75,$1.39,14.93
2018-03-31,21.15,$1.11,19.05
2017-12-31,22.0,$1.59,13.84
2017-09-30,17.2,$1.59,10.82
2017-06-30,17.15,$0.76,22.57
2017-03-31,13.65,$1.05,13.0
2016-12-31,13.3,$0.33,40.3
2016-09-30,11.71,$0.33,35.48
2016-06-30,11.89,$-4.69,0.0
2016-03-31,13.04,$-5.93,0.0
2015-12-31,10.94,$-6.04,0.0
2015-09-30,13.15,$-6.04,0.0
2015-06-30,13.16,$-1.13,0.0
2015-03-31,15.77,$0.22,71.68
2014-12-31,15.4,$0.65,23.69
2014-09-30,17.72,$0.65,27.26
2014-06-30,19.09,$0.86,22.2
2014-03-31,17.8,$0.53,33.58
2013-12-31,21.27,$0.45,47.27
2013-09-30,21.53,$0.45,47.84
2013-06-30,20.06,$0.10,200.6
2013-03-31,21.86,$0.11,198.73
2012-12-31,17.33,$0.08,216.63
2012-09-30,16.66,$0.08,208.25
2012-06-30,12.81,$1.12,11.44
2012-03-31,15.39,$0.99,15.55
2011-12-31,15.13,$0.84,18.01
2011-09-30,10.91,$0.84,12.99
2011-06-30,16.43,$0.07,234.71
2011-03-31,19.02,$0.09,211.33
2010-12-31,19.3,$0.08,241.25
2010-09-30,17.05,$0.08,213.13
2010-06-30,17.96,$0.37,48.54
2010-03-31,18.88,$1.87,10.1
2009-12-31,21.98,$1.84,11.95
