Fastly PE Ratio Historical Data,Fastly PE Ratio Historical Data,Fastly PE Ratio Historical Data,Fastly PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.2,,0.0
2024-06-30,7.37,$-1.24,0.0
2024-03-31,12.97,$-1.00,0.0
2023-12-31,17.8,$-1.04,0.0
2023-09-30,19.17,$-1.24,0.0
2023-06-30,15.77,$-1.34,0.0
2023-03-31,17.76,$-1.40,0.0
2022-12-31,8.19,$-1.58,0.0
2022-09-30,9.16,$-1.69,0.0
2022-06-30,11.61,$-1.65,0.0
2022-03-31,17.38,$-2.02,0.0
2021-12-31,35.45,$-1.92,0.0
2021-09-30,40.44,$-1.83,0.0
2021-06-30,59.6,$-1.57,0.0
2021-03-31,67.28,$-1.20,0.0
2020-12-31,87.37,$-0.89,0.0
2020-09-30,93.68,$-0.64,0.0
2020-06-30,85.13,$-0.55,0.0
2020-03-31,18.98,$-0.67,0.0
