Iridium Communications Inc PE Ratio Historical Data,Iridium Communications Inc PE Ratio Historical Data,Iridium Communications Inc PE Ratio Historical Data,Iridium Communications Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.57,,45.99
2024-09-30,30.45,$0.73,41.71
2024-06-30,26.48,$0.72,36.78
2024-03-31,25.89,$0.21,123.28
2023-12-31,40.54,$0.13,311.84
2023-09-30,44.66,$-0.18,0.0
2023-06-30,60.82,$-0.15,0.0
2023-03-31,60.51,$0.13,465.45
2022-12-31,50.12,$0.07,715.94
2022-09-30,43.26,$0.04,1081.53
2022-06-30,36.62,$0.00,0.0
2022-03-31,39.31,$-0.01,0.0
2021-12-31,40.26,$-0.07,0.0
2021-09-30,38.85,$-0.09,0.0
2021-06-30,38.99,$-0.10,0.0
2021-03-31,40.22,$-0.22,0.0
2020-12-31,38.34,$-0.42,0.0
2020-09-30,24.94,$-1.18,0.0
2020-06-30,24.8,$-1.29,0.0
2020-03-31,21.77,$-1.36,0.0
2019-12-31,24.02,$-1.30,0.0
2019-09-30,20.75,$-0.57,0.0
2019-06-30,22.68,$-0.56,0.0
2019-03-31,25.78,$-0.46,0.0
2018-12-31,17.99,$-0.21,0.0
2018-09-30,21.94,$0.98,22.39
2018-06-30,15.7,$1.34,11.71
2018-03-31,10.97,$1.60,6.86
2017-12-31,11.51,$1.83,6.29
2017-09-30,10.04,$0.92,10.92
2017-06-30,10.77,$0.95,11.34
2017-03-31,9.41,$0.97,9.7
2016-12-31,9.36,$0.90,10.4
2016-09-30,7.91,$-0.06,0.0
2016-06-30,8.66,$-0.08,0.0
2016-03-31,7.67,$-0.09,0.0
2015-12-31,8.2,$-0.15,0.0
2015-09-30,6.0,$0.81,7.4
2015-06-30,8.86,$0.74,11.98
2015-03-31,9.47,$0.67,14.13
2014-12-31,9.51,$0.69,13.78
2014-09-30,8.63,$0.68,12.69
2014-06-30,8.25,$0.70,11.78
2014-03-31,7.32,$0.72,10.17
2013-12-31,6.09,$0.70,8.71
2013-09-30,6.71,$0.71,9.45
2013-06-30,7.57,$0.75,10.09
2013-03-31,5.88,$0.82,7.17
2012-12-31,6.55,$0.81,8.09
2012-09-30,7.14,$0.73,9.78
2012-06-30,8.72,$0.65,13.41
2012-03-31,8.54,$0.58,14.73
2011-12-31,7.52,$0.53,14.18
2011-09-30,6.05,$0.56,10.79
2011-06-30,8.43,$0.55,15.33
2011-03-31,7.78,$0.43,18.09
2010-12-31,8.04,$0.30,26.81
2010-09-30,8.33,$0.09,92.52
2010-06-30,9.79,$-0.86,0.0
2010-03-31,7.91,$-0.90,0.0
2009-12-31,7.83,$-0.88,0.0
