"Banco Santander, S.A PE Ratio Historical Data","Banco Santander, S.A PE Ratio Historical Data","Banco Santander, S.A PE Ratio Historical Data","Banco Santander, S.A PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,4.99,,6.48
2024-06-30,4.63,$0.77,6.01
2024-03-31,4.74,$0.72,6.59
2023-12-31,4.06,$0.70,5.8
2023-09-30,3.6,$0.66,5.45
2023-06-30,3.55,$0.61,5.82
2023-03-31,3.47,$0.58,5.98
2022-12-31,2.77,$0.58,4.78
2022-09-30,2.13,$0.58,3.68
2022-06-30,2.58,$0.58,4.44
2022-03-31,3.05,$0.57,5.36
2021-12-31,2.97,$0.51,5.83
2021-09-30,3.22,$0.47,6.8
2021-06-30,3.48,$0.34,10.14
2021-03-31,3.05,$0.30,10.24
2020-09-30,1.58,$0.31,5.06
2020-03-31,2.0,$0.34,5.9
2019-06-30,3.8,$0.45,8.39
2019-03-31,3.79,$0.47,8.03
2018-12-31,3.61,$0.50,7.21
2018-09-30,4.0,$0.46,8.64
2018-06-30,4.21,$0.43,9.7
2018-03-31,5.11,$0.44,11.52
2017-12-31,5.05,$0.42,11.89
2017-09-30,5.32,$0.43,12.26
2017-06-30,5.08,$0.45,11.21
2017-03-31,4.57,$0.43,10.74
2016-12-31,3.86,$0.42,9.28
2016-09-30,3.25,$0.42,7.81
2016-06-30,2.84,$0.42,6.85
2016-03-31,3.13,$0.45,6.9
2015-12-31,3.45,$0.46,7.45
2015-09-30,3.71,$0.48,7.69
2015-06-30,4.88,$0.52,9.4
2015-03-31,5.08,$0.55,9.28
2014-12-31,5.56,$0.58,9.65
2014-09-30,6.2,$0.57,10.95
2014-06-30,6.67,$0.55,12.17
2014-03-31,6.0,$0.52,11.55
2013-12-31,5.55,$0.52,10.69
2013-09-30,4.89,$0.45,10.78
2013-06-30,3.76,$0.33,11.36
2013-03-31,3.85,$0.22,17.72
2012-12-31,4.51,$0.27,16.47
2012-09-30,4.01,$0.24,16.99
2012-06-30,3.41,$0.49,6.95
2012-03-31,3.82,$0.79,4.82
2011-12-31,3.66,$0.89,4.13
2011-09-30,3.84,$1.16,3.3
2011-06-30,5.39,$1.13,4.76
2011-03-31,5.35,$1.13,4.72
2010-12-31,4.79,$1.14,4.19
2010-09-30,5.63,$1.19,4.73
2010-06-30,4.61,$1.31,3.51
2010-03-31,5.68,$1.36,4.18
2009-12-31,6.95,$1.36,5.11
