Tennant PE Ratio Historical Data,Tennant PE Ratio Historical Data,Tennant PE Ratio Historical Data,Tennant PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,94.44,,16.31
2024-06-30,98.16,$5.79,16.95
2024-03-31,121.26,$6.02,20.14
2023-12-31,92.2,$5.83,15.81
2023-09-30,73.52,$5.46,13.46
2023-06-30,80.16,$5.08,15.78
2023-03-31,67.49,$4.29,15.73
2022-12-31,60.41,$3.54,17.07
2022-09-30,55.26,$2.69,20.54
2022-06-30,57.65,$3.00,19.22
2022-03-31,76.37,$2.24,34.09
2021-12-31,78.3,$2.32,33.75
2021-09-30,71.22,$2.67,26.68
2020-12-31,66.99,$1.81,37.01
2020-09-30,57.43,$2.27,25.3
2020-06-30,61.65,$2.15,28.68
2020-03-31,54.77,$2.17,25.24
2019-12-31,73.42,$2.70,27.19
2021-06-30,76.67,$2.40,31.94
2019-09-30,66.42,$2.31,28.75
2019-06-30,57.31,$2.04,28.09
2019-03-31,57.92,$1.92,30.17
2018-12-31,48.44,$1.81,26.76
2018-09-30,70.61,$1.21,58.35
2018-06-30,73.24,$0.89,82.29
2018-03-31,62.6,$0.05,1251.98
2017-12-31,66.97,$1.24,54.01
2017-09-30,60.83,$1.20,50.69
2017-06-30,67.58,$1.85,36.53
2021-03-31,76.49,$2.64,28.98
2017-03-31,66.33,$2.12,31.29
2016-12-31,64.81,$2.59,25.02
2016-09-30,58.82,$2.47,23.81
2016-06-30,48.75,$1.78,27.39
2016-03-31,46.41,$1.72,26.98
2015-12-31,50.53,$1.74,29.04
2015-09-30,50.29,$1.94,25.92
2015-06-30,58.29,$2.62,22.25
2015-03-31,58.14,$2.66,21.86
2014-12-31,64.0,$2.70,23.7
2014-09-30,59.32,$2.32,25.57
2014-06-30,67.29,$2.25,29.91
2014-03-31,57.68,$2.18,26.46
2013-12-31,59.43,$2.60,22.86
2013-09-30,54.18,$2.51,21.59
2013-06-30,42.04,$2.66,15.8
2012-12-31,37.99,$2.18,17.43
2012-09-30,36.84,$2.04,18.06
2012-06-30,34.23,$1.85,18.51
2012-03-31,37.55,$1.64,22.9
2011-12-31,33.04,$1.66,19.91
2013-03-31,42.14,$1.37,30.76
2011-09-30,29.94,$1.98,15.12
2011-06-30,33.67,$1.87,18.0
2011-03-31,35.28,$1.89,18.67
2010-12-31,32.1,$1.80,17.83
2010-09-30,25.7,$1.27,20.24
2010-06-30,28.01,$1.19,23.54
2010-03-31,22.58,$1.03,21.93
2009-12-31,21.47,$-1.47,0.0
