Wendy's PE Ratio Historical Data,Wendy's PE Ratio Historical Data,Wendy's PE Ratio Historical Data,Wendy's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.68,,20.08
2024-06-30,16.71,$0.98,17.05
2024-03-31,18.29,$0.99,18.48
2023-12-31,18.66,$0.98,19.04
2023-09-30,19.29,$0.94,20.52
2023-06-30,20.3,$0.90,22.56
2023-03-31,20.1,$0.84,23.93
2022-12-31,20.65,$0.82,25.18
2022-09-30,16.96,$0.87,19.5
2022-06-30,17.02,$0.81,21.02
2022-03-31,19.68,$0.88,22.36
2021-12-31,21.24,$0.89,23.86
2021-09-30,19.19,$0.82,23.41
2021-06-30,20.63,$0.81,25.46
2021-03-31,17.77,$0.63,28.2
2020-12-31,19.13,$0.56,34.17
2020-09-30,19.4,$0.59,32.88
2020-06-30,18.91,$0.56,33.76
2019-12-31,19.11,$0.59,32.39
2019-09-30,17.1,$0.56,30.53
2019-06-30,16.68,$0.42,39.71
2019-03-31,15.16,$1.88,8.06
2018-12-31,13.15,$1.86,7.07
2020-03-31,12.89,$1.86,6.93
2018-09-30,14.37,$2.44,5.89
2018-06-30,14.34,$0.90,15.93
2018-03-31,14.57,$0.77,18.92
2017-12-31,13.56,$0.78,17.38
2017-09-30,12.76,$0.25,51.05
2017-06-30,12.69,$0.37,34.29
2017-03-31,11.08,$0.48,23.09
2016-12-31,10.96,$0.48,22.82
2016-09-30,8.71,$0.68,12.8
2016-06-30,7.71,$0.53,14.55
2016-03-31,8.68,$0.54,16.07
2015-12-31,8.53,$0.52,16.4
2015-09-30,6.81,$0.27,25.22
2015-06-30,8.83,$0.30,29.42
2015-03-31,8.49,$0.27,31.44
2014-12-31,7.0,$0.32,21.87
2014-09-30,6.36,$0.34,18.71
2014-06-30,6.53,$0.28,23.32
2014-03-31,6.94,$0.23,30.17
2013-12-31,6.6,$0.12,55.01
2013-09-30,6.38,$0.10,63.82
2013-06-30,4.36,$0.03,145.3
2013-03-31,4.22,$-0.01,0.0
2012-12-31,3.47,$0.01,0.0
2012-09-30,3.31,$-0.04,0.0
2012-06-30,3.44,$0.02,171.76
2012-03-31,3.63,$0.06,60.5
2011-12-31,3.87,$0.03,128.96
2011-09-30,3.3,$-0.01,0.0
2011-06-30,3.63,0,0.0
2011-03-31,3.59,0,0.0
2010-12-31,3.28,$-0.01,0.0
2010-09-30,3.2,$-0.01,0.0
2010-06-30,2.82,$0.02,140.91
2010-03-31,3.51,$0.02,175.55
2009-12-31,3.28,$0.01,0.0
