Sandstorm Gold PE Ratio Historical Data,Sandstorm Gold PE Ratio Historical Data,Sandstorm Gold PE Ratio Historical Data,Sandstorm Gold PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.88,,58.8
2024-06-30,5.41,$0.10,54.08
2024-03-31,5.2,$0.08,65.06
2023-12-31,4.97,$0.14,35.51
2023-09-30,4.59,$0.05,91.84
2023-06-30,5.03,$0.18,27.95
2023-03-31,5.7,$0.37,15.39
2022-12-31,5.14,$0.37,13.9
2022-09-30,5.04,$0.42,12.0
2022-06-30,5.78,$0.32,18.07
2022-03-31,7.84,$0.16,49.0
2021-12-31,6.0,$0.14,42.86
2021-09-30,5.57,$0.15,37.16
2021-06-30,7.64,$0.15,50.9
2021-03-31,6.58,$0.15,43.87
2020-12-31,6.94,$0.06,115.64
2020-09-30,8.17,$0.04,204.19
2020-06-30,9.31,$0.04,232.74
2020-03-31,4.85,$0.01,484.83
2019-12-31,7.21,$0.08,90.12
2019-09-30,5.46,$0.06,90.97
2019-06-30,5.36,$0.04,134.03
2019-03-31,5.3,$0.03,176.77
2018-12-31,4.46,$0.02,223.06
2018-09-30,3.61,$0.01,360.96
2018-06-30,4.35,$0.02,217.74
2018-03-31,4.61,$0.01,460.64
2017-12-31,4.83,$0.05,96.58
2017-09-30,4.39,$0.05,87.87
2017-06-30,3.75,$0.07,53.5
2017-03-31,4.13,$0.12,34.44
2016-12-31,3.77,$0.18,20.97
2016-09-30,4.87,$-0.02,0.0
2016-06-30,4.32,$-0.11,0.0
2016-03-31,3.18,$-0.26,0.0
2015-12-31,2.55,$-0.35,0.0
2015-09-30,2.58,$-0.13,0.0
2015-06-30,2.85,$-0.06,0.0
2015-03-31,3.17,$0.08,39.68
2014-12-31,3.29,$0.10,32.9
2014-09-30,4.16,$-0.32,0.0
2014-06-30,6.7,$-0.36,0.0
2014-03-31,5.39,$-0.57,0.0
2013-12-31,4.13,$-0.73,0.0
2013-09-30,5.21,$-0.27,0.0
2013-06-30,5.66,$-0.20,0.0
2013-03-31,9.15,$0.05,182.9
2012-06-30,7.93,$0.23,34.48
