Relay Therapeutics PE Ratio Historical Data,Relay Therapeutics PE Ratio Historical Data,Relay Therapeutics PE Ratio Historical Data,Relay Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.64,,0.0
2024-06-30,6.52,$-2.52,0.0
2024-03-31,8.3,$-2.64,0.0
2023-12-31,11.01,$-2.80,0.0
2023-09-30,8.41,$-2.69,0.0
2023-06-30,12.56,$-2.91,0.0
2023-03-31,16.47,$-2.81,0.0
2022-12-31,14.94,$-2.60,0.0
2022-09-30,22.37,$-2.66,0.0
2022-06-30,16.75,$-2.56,0.0
2022-03-31,29.93,$-3.95,0.0
2021-12-31,30.71,$-3.85,0.0
2021-09-30,31.53,$-3.23,0.0
2021-06-30,36.59,$-2.57,0.0
