Corpay PE Ratio Historical Data,Corpay PE Ratio Historical Data,Corpay PE Ratio Historical Data,Corpay PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,315.55,,22.93
2024-06-30,266.41,$13.76,19.36
2024-03-31,308.54,$13.44,22.96
2023-12-31,282.61,$13.20,21.41
2023-09-30,255.34,$12.75,20.03
2023-06-30,251.08,$12.40,20.25
2023-03-31,210.85,$12.55,16.8
2022-12-31,183.68,$12.42,14.79
2022-09-30,176.17,$12.13,14.52
2022-06-30,210.11,$11.64,18.05
2022-03-31,249.06,$10.59,23.52
2021-12-31,223.84,$9.99,22.41
2021-09-30,261.27,$9.69,26.96
2021-06-30,256.06,$9.08,28.2
2021-03-31,268.63,$8.61,31.2
2020-12-31,272.83,$8.13,33.56
2020-09-30,238.1,$8.29,28.72
2020-06-30,251.53,$8.59,29.28
2020-03-31,186.54,$9.66,19.31
2019-12-31,287.72,$9.92,29.0
2019-09-30,286.78,$10.65,26.93
2019-06-30,280.85,$9.87,28.45
2019-03-31,246.59,$8.85,27.86
2018-12-31,185.72,$9.97,18.63
2018-09-30,227.84,$8.82,25.83
2018-03-31,202.5,$8.50,23.82
2017-12-31,192.43,$7.93,24.27
2017-09-30,154.77,$5.88,26.32
2017-06-30,144.21,$5.61,25.71
2017-03-31,151.43,$5.58,27.14
2016-12-31,141.52,$5.48,25.82
2018-06-30,210.65,$5.65,37.28
2016-09-30,173.73,$4.30,40.4
2016-06-30,143.13,$4.18,34.24
2016-03-31,148.75,$4.02,37.0
2015-12-31,142.93,$3.85,37.12
2015-09-30,137.62,$4.50,30.58
2015-06-30,156.06,$4.37,35.71
2015-03-31,150.92,$4.35,34.69
2014-12-31,148.71,$4.23,35.16
2014-09-30,142.12,$3.82,37.2
2014-06-30,131.8,$3.64,36.21
2014-03-31,115.1,$3.48,33.07
2013-12-31,117.17,$3.37,34.77
2013-09-30,110.16,$3.27,33.69
2013-06-30,81.3,$3.03,26.83
2013-03-31,76.67,$2.79,27.48
2012-12-31,53.65,$2.51,21.37
2012-09-30,44.8,$2.26,19.82
2012-06-30,35.04,$2.05,17.09
2012-03-31,38.77,$1.86,20.84
2011-12-31,29.87,$1.76,16.97
2011-09-30,26.26,$1.53,17.16
