Tronox Holdings PE Ratio Historical Data,Tronox Holdings PE Ratio Historical Data,Tronox Holdings PE Ratio Historical Data,Tronox Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.57,,0.0
2024-06-30,15.55,$-0.41,0.0
2024-03-31,17.09,$-2.23,0.0
2023-12-31,13.83,$-2.02,0.0
2023-09-30,12.98,$-1.75,0.0
2023-06-30,12.17,$-0.89,0.0
2023-03-31,13.61,$3.20,4.25
2022-12-31,12.88,$3.15,4.09
2022-09-30,11.4,$3.76,3.03
2022-06-30,15.52,$3.69,4.21
2022-03-31,18.15,$1.78,10.2
2021-12-31,21.89,$1.80,12.16
2021-09-30,22.37,$1.59,14.07
2021-06-30,20.21,$7.07,2.86
2021-03-31,16.46,$6.58,2.5
2020-12-31,13.09,$6.68,1.96
2020-09-30,7.0,$6.37,1.1
2020-06-30,6.38,$0.10,63.75
2020-03-31,4.34,$-0.28,0.0
2019-12-31,9.86,$-0.77,0.0
2019-09-30,7.14,$-0.82,0.0
2019-06-30,10.93,$-0.68,0.0
2019-03-31,11.2,$0.02,559.84
2018-12-31,6.6,$-0.07,0.0
2018-09-30,10.1,$-0.02,0.0
2018-06-30,16.58,$-2.14,0.0
2018-03-31,15.5,$-2.41,0.0
2017-12-31,17.2,$-2.40,0.0
2017-09-30,17.66,$-1.40,0.0
2017-06-30,12.63,$0.32,39.45
2017-03-31,15.37,$-0.12,0.0
2016-12-31,8.57,$-0.55,0.0
2016-09-30,7.75,$-2.33,0.0
2016-06-30,3.63,$-2.50,0.0
2016-03-31,5.21,$-3.11,0.0
2015-12-31,3.05,$-2.75,0.0
2015-09-30,3.24,$-4.37,0.0
2015-06-30,10.55,$-4.67,0.0
2015-03-31,14.46,$-3.64,0.0
2014-12-31,16.78,$-3.73,0.0
2014-09-30,18.11,$-1.39,0.0
2014-06-30,18.54,$-1.00,0.0
2014-03-31,16.21,$-1.11,0.0
2013-12-31,15.57,$-1.10,0.0
2013-09-30,16.33,$-1.86,0.0
2013-06-30,13.3,$-1.57,0.0
2013-03-31,12.93,$12.21,1.06
2012-12-31,11.77,$13.81,0.85
2012-09-30,14.37,$15.48,0.93
2012-06-30,15.14,$16.87,0.9
2012-03-31,21.85,$4.03,5.42
2011-12-31,15.05,$2.94,5.12
2011-09-30,9.78,$2.09,4.69
