UnitedHealth Group PE Ratio Historical Data,UnitedHealth Group PE Ratio Historical Data,UnitedHealth Group PE Ratio Historical Data,UnitedHealth Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,590.2,,39.14
2024-06-30,509.26,$15.08,33.77
2024-03-31,492.59,$16.36,30.11
2023-12-31,522.16,$23.84,21.9
2023-09-30,498.35,$23.04,21.63
2023-06-30,473.22,$22.35,21.17
2023-03-31,463.43,$21.87,21.19
2022-12-31,518.04,$21.19,24.45
2022-09-30,491.96,$20.42,24.09
2022-06-30,498.76,$19.15,26.05
2022-03-31,493.42,$18.27,27.01
2021-12-31,484.39,$18.08,26.79
2021-09-30,375.72,$16.12,23.31
2021-06-30,383.67,$15.14,25.34
2021-03-31,355.16,$17.59,20.19
2020-12-31,333.57,$16.03,20.81
2020-09-30,295.51,$17.41,16.97
2020-06-30,278.41,$17.78,15.66
2020-03-31,234.39,$14.29,16.4
2019-12-31,275.22,$14.33,19.21
2019-09-30,202.67,$13.75,14.74
2019-06-30,226.51,$13.32,17.01
2019-03-31,228.52,$12.88,17.74
2018-12-31,229.37,$12.19,18.82
2018-09-30,244.17,$12.74,19.17
2018-06-30,224.42,$12.01,18.69
2018-03-31,195.07,$11.35,17.19
2017-12-31,200.29,$10.71,18.7
2017-09-30,177.35,$9.02,19.66
2017-06-30,167.27,$8.54,19.59
2017-03-31,147.34,$8.03,18.35
2016-12-31,143.24,$7.47,19.18
2016-09-30,124.81,$6.77,18.44
2016-06-30,125.3,$6.39,19.61
2016-03-31,113.87,$6.22,18.31
2015-12-31,103.49,$6.01,17.22
2015-09-30,101.63,$6.30,16.13
2015-06-30,106.41,$6.28,16.94
2015-03-31,102.75,$6.06,16.95
2014-12-31,87.52,$5.70,15.35
2014-09-30,74.39,$5.56,13.38
2014-06-30,70.21,$5.46,12.86
2014-03-31,70.08,$5.44,12.88
2013-12-31,64.13,$5.50,11.66
2013-09-30,60.76,$5.29,11.49
2013-06-30,55.35,$5.26,10.52
2013-03-31,48.15,$5.13,9.39
2012-12-31,45.47,$5.28,8.61
2012-09-30,46.27,$5.25,8.81
2012-06-30,48.66,$4.92,9.89
2012-03-31,48.84,$4.81,10.15
2011-12-31,41.88,$4.72,8.87
2011-09-30,37.98,$4.49,8.46
2011-06-30,42.33,$4.46,9.49
2011-03-31,36.97,$4.29,8.62
2010-12-31,29.45,$4.10,7.18
2010-09-30,28.54,$3.97,7.19
2010-06-30,23.0,$3.72,6.18
2010-03-31,26.33,$3.46,7.61
2009-12-31,24.57,$3.24,7.58
