Papa John's PE Ratio Historical Data,Papa John's PE Ratio Historical Data,Papa John's PE Ratio Historical Data,Papa John's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,54.99,,26.44
2024-06-30,46.52,$2.08,22.37
2024-03-31,65.36,$2.25,29.05
2023-12-31,74.34,$2.46,30.22
2023-09-30,66.06,$2.33,28.35
2023-06-30,71.09,$2.08,34.18
2023-03-31,71.75,$2.24,32.03
2022-12-31,78.47,$1.88,41.74
2022-09-30,66.4,$1.89,35.13
2022-06-30,78.86,$2.45,32.19
2022-03-31,98.98,$-0.55,0.0
2021-12-31,125.12,$-0.02,0.0
2021-09-30,118.73,$-0.41,0.0
2021-06-30,97.38,$-0.85,0.0
2021-03-31,82.45,$1.93,42.72
2020-12-31,78.75,$1.26,62.5
2020-09-30,76.15,$0.80,95.18
2020-06-30,73.32,$0.35,209.47
2020-03-31,49.14,$0.02,2456.9
2019-12-31,57.94,$-0.25,0.0
2019-09-30,47.86,$-0.51,0.0
2019-06-30,40.69,$-0.82,0.0
2019-03-31,47.97,$-0.61,0.0
2018-12-31,35.88,$0.01,3587.57
2018-09-30,46.03,$1.26,36.53
2018-06-30,45.27,$2.27,19.94
2018-03-31,50.92,$2.56,19.89
2017-12-31,49.67,$2.83,17.55
2017-09-30,64.44,$2.90,22.22
2017-06-30,63.1,$2.87,21.99
2017-03-31,70.21,$2.83,24.81
2016-12-31,74.88,$2.75,27.23
2016-09-30,68.82,$2.49,27.64
2016-06-30,59.19,$2.37,24.98
2016-03-31,47.03,$2.03,23.17
2015-12-31,48.31,$1.89,25.56
2015-09-30,59.03,$1.79,32.98
2015-06-30,65.02,$1.73,37.58
2015-03-31,53.04,$1.86,28.52
2014-12-31,47.78,$1.76,27.15
2014-09-30,34.14,$1.65,20.69
2014-06-30,36.07,$1.59,22.76
2014-03-31,44.21,$1.57,28.16
2013-12-31,38.41,$1.55,24.86
2013-09-30,29.47,$1.51,19.58
2013-06-30,27.47,$1.46,18.88
2013-03-31,25.97,$1.38,18.89
2012-12-31,23.08,$1.30,17.82
2012-09-30,22.44,$1.25,17.95
2012-06-30,19.99,$1.20,16.73
2012-03-31,15.82,$1.13,14.07
2011-12-31,15.83,$1.10,14.39
2011-09-30,12.77,$1.05,12.16
2011-06-30,13.97,$0.98,14.26
2011-03-31,13.31,$0.99,13.44
2010-12-31,11.64,$0.98,11.88
2010-09-30,11.07,$0.95,11.65
2010-06-30,9.71,$1.01,9.62
2010-03-31,10.8,$1.02,10.59
2009-12-31,9.82,$1.03,9.53
