Cogent Biosciences PE Ratio Historical Data,Cogent Biosciences PE Ratio Historical Data,Cogent Biosciences PE Ratio Historical Data,Cogent Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.64,,0.0
2024-06-30,8.43,$-2.48,0.0
2024-03-31,6.72,$-2.48,0.0
2023-12-31,5.88,$-2.40,0.0
2023-09-30,9.75,$-2.33,0.0
2023-06-30,11.84,$-2.19,0.0
2023-03-31,10.79,$-2.31,0.0
2022-12-31,11.56,$-2.45,0.0
2022-09-30,14.92,$-2.50,0.0
2022-06-30,9.02,$-2.48,0.0
2022-03-31,7.49,$-2.20,0.0
2021-12-31,8.58,$-1.86,0.0
2021-09-30,8.41,$-7.31,0.0
2021-06-30,8.11,$-11.90,0.0
2021-03-31,8.78,$-12.43,0.0
2020-12-31,11.23,$-12.89,0.0
2020-09-30,9.36,$-6.55,0.0
2020-06-30,1.84,$-3.04,0.0
2020-03-31,1.65,$-3.44,0.0
2019-12-31,2.88,$-4.20,0.0
2019-09-30,5.76,$-5.64,0.0
2019-06-30,10.48,$-5.44,0.0
2019-03-31,17.56,$-5.32,0.0
2018-12-31,17.6,$-6.40,0.0
