Paysafe PE Ratio Historical Data,Paysafe PE Ratio Historical Data,Paysafe PE Ratio Historical Data,Paysafe PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,22.83,,0.0
2024-06-30,17.68,$-0.21,0.0
2024-03-31,15.79,$-0.22,0.0
2023-12-31,12.79,$-0.33,0.0
2023-09-30,11.99,$-0.69,0.0
2023-06-30,10.09,$-0.65,0.0
2023-03-31,17.27,$-11.06,0.0
2022-12-31,13.89,$-30.45,0.0
2022-09-30,1.38,$-29.89,0.0
2022-06-30,1.95,$-32.29,0.0
2022-03-31,3.39,$-22.33,0.0
2021-12-31,3.91,$-2.88,0.0
2021-09-30,7.75,$-2.88,0.0
