Cimpress PE Ratio Historical Data,Cimpress PE Ratio Historical Data,Cimpress PE Ratio Historical Data,Cimpress PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,79.23,,12.21
2024-06-30,87.61,$6.49,13.5
2024-03-31,88.51,$3.24,27.32
2023-12-31,80.05,$1.51,53.01
2023-09-30,70.01,$-5.97,0.0
2023-06-30,59.48,$-7.11,0.0
2023-03-31,43.82,$-9.36,0.0
2022-12-31,27.61,$-10.23,0.0
2022-09-30,24.48,$-2.81,0.0
2022-06-30,38.9,$-1.75,0.0
2022-03-31,63.59,$-2.89,0.0
2021-12-31,71.61,$-1.64,0.0
2021-09-30,86.83,$-2.50,0.0
2021-06-30,108.41,$-3.00,0.0
2021-03-31,100.13,$-2.31,0.0
2020-12-31,87.74,$-4.07,0.0
2020-09-30,75.16,$1.52,49.45
2020-06-30,76.34,$3.02,25.28
2020-03-31,53.2,$4.85,10.97
2019-12-31,125.77,$10.28,12.23
2019-06-30,90.89,$3.00,30.3
2019-03-31,80.13,$1.67,47.98
2018-12-31,103.42,$2.12,48.78
2018-09-30,136.61,$-0.12,0.0
2018-06-30,144.96,$1.28,113.25
2019-09-30,131.84,$2.24,58.86
2018-03-31,154.7,$0.47,329.15
2017-12-31,119.88,$-0.84,0.0
2017-09-30,97.66,$-2.69,0.0
2017-06-30,94.53,$-2.90,0.0
2017-03-31,86.19,$-2.85,0.0
2016-09-30,101.18,$0.33,306.61
2016-06-30,92.48,$1.55,59.66
2016-03-31,90.69,$0.93,97.52
2015-12-31,81.14,$3.06,26.52
2015-09-30,76.11,$1.51,50.4
2015-06-30,84.16,$3.10,27.15
2016-12-31,91.61,$3.92,23.37
2015-03-31,84.38,$2.88,29.3
2014-12-31,74.84,$2.67,28.03
2014-09-30,54.79,$1.96,27.95
2014-06-30,40.46,$1.26,32.11
2014-03-31,49.22,$1.30,37.86
2013-12-31,56.85,$1.43,39.76
2013-09-30,56.6,$0.91,62.2
2013-06-30,49.37,$0.85,58.08
2013-03-31,38.66,$0.88,43.93
2012-12-31,32.86,$0.72,45.64
2012-09-30,34.15,$0.88,38.81
2012-06-30,32.3,$1.12,28.84
2012-03-31,38.65,$1.34,28.84
2011-12-31,30.6,$1.84,16.63
2011-09-30,27.03,$1.77,15.27
2011-06-30,47.85,$1.82,26.29
2011-03-31,51.9,$1.76,29.49
2010-12-31,46.0,$1.60,28.75
2010-09-30,38.65,$1.44,26.84
2010-06-30,47.49,$1.49,31.87
2010-03-31,57.37,$1.56,36.77
2009-12-31,56.66,$1.54,36.79
