Longboard Pharmaceuticals PE Ratio Historical Data,Longboard Pharmaceuticals PE Ratio Historical Data,Longboard Pharmaceuticals PE Ratio Historical Data,Longboard Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,59.17,,0.0
2024-06-30,27.03,$-2.15,0.0
2024-03-31,21.6,$-2.24,0.0
2023-12-31,6.03,$-2.38,0.0
2023-09-30,5.56,$-2.42,0.0
2023-06-30,7.34,$-2.55,0.0
2023-03-31,4.01,$-2.57,0.0
2022-12-31,3.26,$-2.57,0.0
2022-09-30,3.72,$-2.43,0.0
2022-06-30,3.09,$-2.13,0.0
2022-03-31,5.34,$-1.87,0.0
2021-12-31,4.88,$-2.15,0.0
