Hecla Mining PE Ratio Historical Data,Hecla Mining PE Ratio Historical Data,Hecla Mining PE Ratio Historical Data,Hecla Mining PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.69,,0.0
2024-06-30,4.84,$-0.08,0.0
2024-03-31,4.79,$-0.15,0.0
2023-12-31,4.79,$-0.15,0.0
2023-09-30,3.89,$-0.09,0.0
2023-06-30,5.11,$-0.09,0.0
2023-03-31,6.28,$-0.09,0.0
2022-12-31,5.51,$-0.07,0.0
2022-09-30,3.9,$-0.04,0.0
2022-06-30,3.87,$-0.20,0.0
2022-03-31,6.48,$-0.16,0.0
2021-12-31,5.15,$-0.14,0.0
2021-09-30,5.42,$-0.16,0.0
2021-06-30,7.31,$0.07,104.46
2021-03-31,5.59,$0.03,186.17
2020-12-31,6.35,$-0.03,0.0
2020-09-30,4.97,$-0.05,0.0
2020-06-30,3.2,$-0.12,0.0
2020-03-31,1.78,$-0.19,0.0
2019-12-31,3.31,$-0.21,0.0
2019-09-30,1.72,$-0.24,0.0
2019-06-30,1.75,$-0.25,0.0
2019-03-31,2.24,$-0.12,0.0
2018-12-31,2.29,$-0.05,0.0
2018-09-30,2.71,$-0.07,0.0
2018-06-30,3.37,$-0.02,0.0
2018-03-31,3.55,$-0.11,0.0
2017-12-31,3.84,$-0.06,0.0
2017-09-30,4.86,$0.06,80.94
2017-06-30,4.93,$0.13,37.93
2017-03-31,5.11,$0.25,20.45
2016-12-31,5.06,$0.18,28.12
2016-09-30,5.5,$-0.04,0.0
2016-06-30,4.92,$-0.14,0.0
2016-03-31,2.68,$-0.27,0.0
2015-12-31,1.82,$-0.24,0.0
2015-09-30,1.9,$-0.02,0.0
2015-06-30,2.53,$0.02,126.43
2015-03-31,2.86,$0.05,57.26
2014-12-31,2.68,$0.05,53.56
2014-09-30,2.38,$-0.01,0.0
2014-06-30,3.31,$-0.05,0.0
2014-03-31,2.94,$-0.09,0.0
2013-12-31,2.95,$-0.08,0.0
2013-09-30,3.0,$-0.07,0.0
2013-06-30,2.85,$-0.04,0.0
2013-03-31,3.77,$0.05,75.4
2012-12-31,5.55,$0.05,110.96
2012-09-30,6.21,$0.11,56.45
2012-06-30,4.5,$0.30,15.0
2012-03-31,4.36,$0.40,10.89
2011-12-31,4.92,$0.51,9.64
2011-09-30,5.02,$0.40,12.56
2011-06-30,7.21,$0.27,26.7
2011-03-31,8.51,$0.21,40.53
2010-12-31,10.56,$0.13,81.2
2010-09-30,5.92,$0.29,20.43
2010-06-30,4.89,$0.32,15.29
2010-03-31,5.13,$0.27,18.99
2009-12-31,5.79,$0.22,26.33
