Healthpeak Properties PE Ratio Historical Data,Healthpeak Properties PE Ratio Historical Data,Healthpeak Properties PE Ratio Historical Data,Healthpeak Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,22.28,,47.4
2024-06-30,19.6,$0.47,41.7
2024-03-31,18.75,$0.35,53.57
2023-12-31,19.8,$0.56,35.36
2023-09-30,18.36,$0.44,41.73
2023-06-30,20.1,$0.97,20.72
2023-03-31,21.97,$1.01,21.75
2022-12-31,24.79,$0.92,26.95
2022-09-30,22.39,$0.96,23.32
2022-06-30,25.02,$0.41,61.03
2022-03-31,32.83,$0.79,41.56
2021-12-31,34.2,$0.93,36.77
2021-09-30,31.45,$1.15,27.35
2021-06-30,31.01,$0.93,33.35
2021-03-31,29.31,$0.51,57.47
2020-12-31,27.64,$0.78,35.43
2020-09-30,24.51,$0.60,40.85
2020-06-30,24.55,$0.63,38.97
2020-03-31,20.92,$0.51,41.01
2019-12-31,29.93,$0.10,299.32
2019-09-30,30.63,$1.74,17.6
2019-06-30,27.19,$2.04,13.33
2019-03-31,26.61,$2.26,11.77
2018-12-31,23.46,$2.21,10.62
2018-09-30,21.82,$0.35,62.33
2018-06-30,21.11,$0.12,175.9
2018-03-31,18.7,$-0.03,0.0
2017-12-31,20.64,$0.86,24.0
2017-09-30,21.73,$1.11,19.57
2017-06-30,24.65,$1.45,17.0
2017-03-31,23.83,$2.05,11.62
2016-12-31,22.37,$1.33,16.82
2016-09-30,25.77,$-0.08,0.0
2016-06-30,23.68,$-0.15,0.0
2016-03-31,21.44,$-0.43,0.0
2015-12-31,24.77,$-1.20,0.0
2015-09-30,23.75,$0.52,45.68
2015-06-30,22.91,$0.81,28.29
2015-03-31,26.76,$0.93,28.78
2014-12-31,26.94,$2.01,13.4
2014-09-30,23.99,$2.22,10.81
2014-06-30,24.67,$2.19,11.26
2014-03-31,22.83,$2.18,10.47
2013-12-31,21.08,$2.13,9.89
2013-09-30,23.47,$2.02,11.62
2013-06-30,25.72,$1.96,13.12
2013-03-31,27.94,$1.97,14.18
2012-12-31,25.03,$1.89,13.24
2012-09-30,24.37,$1.51,16.14
2012-06-30,23.93,$1.47,16.28
2012-03-31,21.13,$1.54,13.72
2011-12-31,21.92,$1.28,17.12
2011-09-30,18.32,$1.55,11.82
2011-06-30,18.9,$1.19,15.88
2011-03-31,19.3,$0.91,21.21
2010-12-31,18.47,$0.99,18.66
2010-09-30,17.84,$0.66,27.02
2010-06-30,15.78,$0.43,36.7
2010-03-31,15.92,$0.51,31.22
2009-12-31,14.49,$0.43,33.69
