Moody's PE Ratio Historical Data,Moody's PE Ratio Historical Data,Moody's PE Ratio Historical Data,Moody's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,487.74,,48.15
2024-06-30,420.16,$10.13,41.48
2024-03-31,391.51,$8.45,46.33
2023-12-31,388.18,$6.95,55.85
2023-09-30,313.58,$6.87,45.65
2022-12-31,274.3,$7.44,36.87
2022-09-30,238.78,$8.38,28.49
2022-06-30,266.54,$8.78,30.36
2022-03-31,329.85,$9.54,34.58
2021-12-31,381.01,$9.93,38.37
2023-06-30,344.07,$11.55,29.79
2021-09-30,345.85,$11.16,30.99
2021-06-30,352.33,$11.10,31.74
2021-03-31,289.79,$10.72,27.03
2020-12-31,281.04,$9.39,29.93
2020-09-30,280.09,$9.61,29.15
2020-06-30,264.95,$9.13,29.02
2020-03-31,203.52,$8.06,25.25
2019-12-31,227.97,$8.21,27.77
2019-09-30,196.25,$8.26,23.76
2019-06-30,186.7,$7.56,24.7
2023-03-31,302.07,$7.53,40.12
2019-03-31,172.64,$6.75,25.58
2018-12-31,133.12,$6.74,19.75
2018-09-30,158.46,$5.58,28.4
2018-06-30,161.23,$5.62,28.69
2018-03-31,152.09,$5.29,28.75
2017-12-31,138.82,$5.15,26.96
2017-09-30,130.59,$2.80,46.64
2017-06-30,113.81,$2.26,50.36
2017-03-31,104.44,$1.79,58.35
2016-12-31,87.58,$1.29,67.89
2015-12-31,91.79,$4.62,19.87
2015-09-30,89.54,$4.65,19.25
2015-06-30,98.13,$4.82,20.36
2015-03-31,94.06,$4.54,20.72
2014-12-31,86.52,$4.91,17.62
2016-09-30,100.22,$4.79,20.92
2014-09-30,85.1,$4.42,19.25
2014-06-30,78.7,$4.25,18.52
2014-03-31,70.97,$3.77,18.82
2013-12-31,69.96,$3.60,19.43
2013-09-30,62.49,$3.36,18.6
2013-06-30,53.93,$3.34,16.15
2013-03-31,47.06,$3.10,15.18
2012-12-31,44.22,$3.57,12.39
2012-09-30,38.68,$3.63,10.65
2012-06-30,31.88,$3.25,9.81
2016-06-30,86.43,$3.06,28.25
2012-03-31,36.55,$2.58,14.17
2011-12-31,29.12,$2.49,11.69
2011-09-30,26.22,$2.64,9.93
2011-06-30,32.87,$2.65,12.4
2011-03-31,28.96,$2.34,12.38
2010-12-31,22.58,$2.14,10.55
2010-09-30,21.17,$1.99,10.64
2010-06-30,16.8,$2.34,7.18
2010-03-31,24.97,$2.25,11.1
2009-12-31,22.41,$2.24,10.0
2016-03-31,88.71,$2.19,40.51
