NeoGenomics PE Ratio Historical Data,NeoGenomics PE Ratio Historical Data,NeoGenomics PE Ratio Historical Data,NeoGenomics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.5,,0.0
2024-06-30,13.87,$-0.60,0.0
2023-12-31,16.18,$-0.70,0.0
2023-09-30,12.3,$-0.77,0.0
2023-06-30,16.07,$-0.92,0.0
2023-03-31,17.41,$-1.01,0.0
2022-12-31,9.24,$-1.16,0.0
2022-09-30,8.61,$-1.32,0.0
2022-06-30,8.15,$-1.19,0.0
2022-03-31,12.15,$-0.32,0.0
2021-12-31,34.12,$-0.11,0.0
2021-09-30,48.24,$0.02,2412.0
2021-06-30,45.17,$0.32,141.16
2021-03-31,48.23,$-0.23,0.0
2024-03-31,15.72,$-0.10,0.0
2020-12-31,53.84,$0.04,1346.0
2020-09-30,36.89,$-0.03,0.0
2020-06-30,30.98,$-0.05,0.0
2020-03-31,27.61,$0.03,920.33
2019-12-31,29.25,$0.07,417.86
2019-09-30,19.12,$0.01,1912.0
2019-06-30,21.94,$0.01,2194.0
2019-03-31,20.46,$0.06,341.0
2018-12-31,12.61,$0.06,210.17
2018-09-30,15.35,$0.09,170.56
2018-06-30,13.11,$-0.03,0.0
2018-03-31,8.16,$-0.13,0.0
2017-12-31,8.86,$-0.14,0.0
2017-09-30,11.13,$-0.35,0.0
2017-06-30,8.96,$-0.32,0.0
2017-03-31,7.89,$-0.36,0.0
2016-12-31,8.57,$-0.39,0.0
2016-09-30,8.22,$-0.24,0.0
2016-06-30,8.04,$-0.17,0.0
2016-03-31,6.74,$-0.10,0.0
2015-12-31,7.87,$-0.04,0.0
2015-09-30,5.73,$0.01,573.0
2015-06-30,5.41,0,0.0
2015-03-31,4.67,$0.01,467.0
2014-12-31,4.17,$0.02,208.5
2014-09-30,5.21,$0.02,260.5
2014-06-30,3.32,$0.05,66.4
2014-03-31,3.47,$0.05,69.4
2013-12-31,3.62,$0.05,72.4
2013-09-30,3.0,$0.03,100.0
2013-06-30,3.98,$-0.01,0.0
2013-03-31,3.93,$-0.01,0.0
2012-12-31,2.48,0,0.0
2012-09-30,3.01,0,0.0
2012-06-30,1.7,$0.02,85.0
2012-03-31,1.69,0,0.0
2011-12-31,1.4,$-0.03,0.0
2011-09-30,1.05,$-0.04,0.0
2011-06-30,1.3,$-0.07,0.0
2011-03-31,1.37,$-0.09,0.0
2010-12-31,1.3,$-0.09,0.0
2010-09-30,1.09,$-0.12,0.0
2010-06-30,1.27,$-0.11,0.0
2010-03-31,1.4,$-0.08,0.0
2009-12-31,1.5,$-0.06,0.0
