VEON PE Ratio Historical Data,VEON PE Ratio Historical Data,VEON PE Ratio Historical Data,VEON PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,29.82,,14.84
2024-06-30,25.94,$2.01,12.91
2024-03-31,24.01,$4.51,5.32
2023-12-31,19.7,$8.51,2.31
2023-09-30,19.5,$8.51,2.29
2023-06-30,20.44,$1.00,20.44
2023-03-31,17.72,$-0.50,0.0
2022-12-31,12.25,$-7.25,0.0
2022-09-30,8.0,$-7.25,0.0
2022-06-30,11.5,$2.25,5.11
2022-03-31,17.07,$1.75,9.75
2021-12-31,42.75,$5.50,7.77
2021-09-30,52.0,$5.50,9.45
2021-06-30,45.75,$-5.50,0.0
2021-03-31,44.25,$-4.75,0.0
2020-12-31,37.75,$-5.00,0.0
2020-09-30,31.5,$-4.50,0.0
2020-06-30,45.0,$4.75,9.47
2020-03-31,37.75,$3.50,10.79
2019-12-31,59.21,$9.00,6.58
2019-09-30,56.17,$8.50,6.61
2019-06-30,62.51,$20.25,3.09
2019-03-31,46.66,$17.25,2.7
2018-12-31,48.74,$8.75,5.57
2018-09-30,60.41,$4.00,15.1
2018-06-30,47.43,$-6.50,0.0
2018-03-31,52.61,$-8.50,0.0
2017-12-31,72.25,$-7.00,0.0
2017-09-30,78.64,$-2.25,0.0
2017-06-30,71.58,$2.25,31.81
2017-03-31,74.69,$8.25,9.05
2016-12-31,67.14,$8.25,8.14
2016-09-30,60.05,$8.25,7.28
2016-06-30,66.95,$-12.25,0.0
2016-03-31,73.51,$-12.75,0.0
2015-12-31,56.6,$-10.00,0.0
2015-09-30,70.33,$-23.25,0.0
2015-06-30,84.95,$-7.50,0.0
2015-03-31,89.56,$-7.50,0.0
2014-12-31,71.36,$-9.75,0.0
2014-09-30,122.66,$-34.50,0.0
2014-06-30,142.71,$-32.25,0.0
2014-03-31,153.42,$-25.50,0.0
2013-12-31,219.84,$-19.75,0.0
2013-09-30,192.67,$30.50,6.32
2013-06-30,164.96,$35.00,4.71
2013-03-31,177.43,$34.25,5.18
2012-12-31,156.54,$33.00,4.74
2012-09-30,165.06,$15.00,11.0
2012-06-30,112.49,$8.25,13.64
2012-03-31,147.93,$4.75,31.14
2011-12-31,125.53,$11.25,11.16
2011-09-30,121.52,$25.50,4.77
2011-06-30,162.7,$33.75,4.82
2011-03-31,178.11,$36.75,4.85
2010-12-31,187.16,$33.25,5.63
2010-09-30,179.44,$31.50,5.7
2010-06-30,195.51,$32.75,5.97
2010-03-31,222.45,$25.75,8.64
2009-12-31,224.63,$17.75,12.66
