Frontdoor PE Ratio Historical Data,Frontdoor PE Ratio Historical Data,Frontdoor PE Ratio Historical Data,Frontdoor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,52.49,,20.11
2024-06-30,33.79,$2.61,12.95
2024-03-31,32.58,$2.28,14.29
2023-12-31,35.22,$2.12,16.61
2023-09-30,30.59,$2.11,14.5
2023-06-30,31.9,$1.56,20.45
2023-03-31,27.88,$1.11,25.12
2022-12-31,20.8,$0.86,24.19
2022-09-30,20.39,$0.84,24.27
2022-06-30,24.08,$1.39,17.32
2022-03-31,29.85,$1.46,20.45
2021-12-31,36.65,$1.50,24.43
2021-09-30,41.9,$1.44,29.1
2021-06-30,49.82,$1.12,44.48
2021-03-31,53.75,$1.22,44.06
2020-12-31,50.21,$1.31,38.33
2020-09-30,38.91,$1.51,25.77
2020-06-30,44.33,$1.66,26.7
2020-03-31,34.78,$1.80,19.32
2019-12-31,47.42,$1.80,26.34
2019-09-30,48.57,$1.78,27.29
