Fresenius Medical Care AG KGaA PE Ratio Historical Data,Fresenius Medical Care AG KGaA PE Ratio Historical Data,Fresenius Medical Care AG KGaA PE Ratio Historical Data,Fresenius Medical Care AG KGaA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.04,,20.66
2024-06-30,19.09,$0.97,19.68
2024-03-31,18.74,$0.89,21.06
2023-12-31,20.25,$0.92,22.01
2023-09-30,20.94,$0.82,25.53
2023-06-30,23.26,$1.05,22.15
2023-03-31,20.14,$1.06,19.0
2022-12-31,15.48,$1.20,12.9
2022-09-30,13.3,$1.41,9.43
2022-06-30,23.62,$1.57,15.05
2022-03-31,31.15,$1.75,17.8
2021-12-31,30.02,$1.96,15.32
2021-09-30,32.34,$1.87,17.29
2021-06-30,38.44,$2.03,18.94
2021-03-31,33.43,$2.24,14.93
2020-12-31,37.68,$2.25,16.74
2020-09-30,38.51,$2.52,15.28
2020-06-30,38.58,$2.42,15.94
2020-03-31,29.24,$2.23,13.11
2019-12-31,32.83,$2.21,14.86
2019-09-30,29.94,$2.37,12.63
2019-06-30,35.01,$2.30,15.22
2019-03-31,35.53,$3.77,9.42
2018-12-31,28.39,$3.83,7.41
2018-09-30,45.07,$3.79,11.89
2018-06-30,44.13,$3.84,11.49
2018-03-31,44.24,$2.38,18.59
2017-12-31,45.51,$2.35,19.37
2017-09-30,42.34,$2.23,18.99
2017-06-30,41.86,$2.18,19.2
2017-03-31,36.07,$2.18,16.55
2016-12-31,36.14,$2.02,17.89
2016-09-30,37.48,$1.91,19.62
2016-06-30,37.31,$1.80,20.73
2016-03-31,37.35,$1.72,21.72
2015-12-31,35.45,$1.70,20.85
2015-09-30,33.05,$1.74,19.0
2015-06-30,35.24,$1.76,20.02
2015-03-31,34.77,$1.75,19.87
2014-12-31,31.16,$1.74,17.91
2014-09-30,29.11,$1.76,16.54
2014-06-30,28.1,$1.76,15.96
2014-03-31,28.77,$1.80,15.99
2013-12-31,29.38,$1.83,16.05
2013-09-30,26.73,$2.09,12.79
2013-06-30,29.12,$2.08,14.0
2013-03-31,27.56,$2.12,13.0
2012-12-31,27.92,$2.36,11.86
2012-09-30,29.88,$2.03,14.75
2012-06-30,28.73,$2.05,14.05
2012-03-31,28.38,$2.01,14.16
2011-12-31,27.31,$1.77,15.47
2011-09-30,27.13,$1.71,15.91
2011-06-30,30.01,$1.66,18.13
2011-03-31,26.77,$1.64,16.33
2010-12-31,22.88,$1.63,14.08
2010-09-30,24.48,$1.59,15.45
2010-06-30,21.29,$1.56,13.69
2010-03-31,21.9,$1.51,14.51
2009-12-31,20.67,$1.50,13.83
