General Mills PE Ratio Historical Data,General Mills PE Ratio Historical Data,General Mills PE Ratio Historical Data,General Mills PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,72.29,,16.77
2024-05-31,68.1,$4.31,15.8
2024-02-29,63.04,$4.36,14.46
2023-11-30,61.96,$4.11,15.08
2023-08-31,65.24,$4.10,15.91
2023-05-31,80.52,$4.31,18.68
2023-02-28,75.6,$4.63,16.33
2022-11-30,80.59,$4.79,16.82
2022-08-31,72.04,$4.75,15.17
2022-05-31,65.06,$4.42,14.72
2022-02-28,62.35,$3.75,16.63
2021-11-30,56.69,$3.63,15.62
2021-08-31,52.62,$3.77,13.96
2021-05-31,56.73,$3.78,15.01
2021-02-28,49.23,$4.12,11.95
2020-11-30,53.96,$3.90,13.84
2020-08-31,56.27,$3.74,15.05
2020-05-31,55.04,$3.65,15.08
2020-02-29,42.41,$3.37,12.58
2019-11-30,45.72,$3.20,14.29
2019-05-31,41.63,$2.90,14.35
2019-02-28,39.31,$2.55,15.41
2018-11-30,34.86,$2.66,13.11
2018-08-31,37.49,$3.71,10.1
2018-05-31,34.08,$3.80,8.97
2019-08-31,45.72,$3.90,11.72
2018-02-28,40.3,$3.74,10.77
2017-11-30,44.72,$2.73,16.38
2017-08-31,41.71,$2.61,15.98
2017-05-31,44.04,$2.51,17.54
2017-02-28,46.47,$2.69,17.27
2016-05-31,47.27,$2.77,17.06
2016-02-29,43.99,$2.45,17.95
2015-11-30,42.83,$2.66,16.1
2015-08-31,41.76,$2.35,17.77
2015-05-31,40.99,$2.22,18.47
2016-11-30,46.54,$2.47,18.84
2015-02-28,38.96,$2.32,16.79
2014-11-30,37.92,$2.40,15.8
2014-08-31,38.06,$2.68,14.2
2014-05-31,38.87,$2.83,13.73
2014-02-28,35.12,$2.73,12.86
2013-11-30,35.13,$2.69,13.06
2013-08-31,34.08,$2.67,12.76
2013-05-31,32.28,$2.79,11.57
2013-02-28,31.5,$2.73,11.54
2012-11-30,27.7,$2.71,10.22
2012-08-31,26.36,$2.56,10.3
2012-05-31,25.44,$2.35,10.82
2012-02-29,25.26,$2.34,10.79
2011-11-30,26.14,$2.43,10.76
2011-08-31,24.61,$2.35,10.47
2011-05-31,25.61,$2.66,9.63
2016-08-31,53.68,$2.88,18.64
2011-02-28,23.73,$2.52,9.42
2010-11-30,22.4,$2.41,9.29
2010-08-31,22.75,$2.32,9.81
2010-05-31,22.24,$2.25,9.91
2010-02-28,22.33,$2.47,9.04
2009-11-30,20.94,$2.42,8.67
