Urban Outfitters PE Ratio Historical Data,Urban Outfitters PE Ratio Historical Data,Urban Outfitters PE Ratio Historical Data,Urban Outfitters PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,37.56,,11.49
2024-07-31,46.05,$3.27,14.08
2024-04-30,38.96,$3.13,12.45
2024-01-31,38.0,$3.04,12.5
2023-10-31,34.62,$2.88,12.02
2023-07-31,36.37,$2.40,15.15
2023-04-30,27.06,$1.94,13.95
2023-01-31,27.39,$1.71,16.02
2022-10-31,23.86,$1.78,13.4
2022-07-31,20.48,$2.27,9.02
2022-04-30,23.8,$2.91,8.18
2022-01-31,28.72,$3.12,9.21
2021-10-31,31.93,$3.00,10.64
2021-07-31,37.18,$2.89,12.87
2021-04-30,35.9,$1.96,18.32
2021-01-31,27.43,$0.01,0.0
2020-10-31,22.34,$-0.08,0.0
2020-07-31,16.54,$-0.30,0.0
2020-04-30,17.34,$-0.04,0.0
2020-01-31,25.6,$1.68,15.24
2019-10-31,28.7,$2.28,12.59
2019-07-31,23.81,$2.42,9.84
2019-04-30,29.73,$2.65,11.22
2019-01-31,32.3,$2.72,11.88
2018-10-31,39.46,$1.93,20.45
2018-07-31,44.4,$1.64,27.07
2018-04-30,40.27,$1.24,32.48
2018-01-31,34.11,$0.96,35.53
2017-10-31,24.52,$1.50,16.35
2017-07-31,19.59,$1.49,13.15
2017-04-30,22.88,$1.71,13.38
2017-01-31,26.54,$1.86,14.27
2016-10-31,33.45,$1.92,17.42
2016-07-31,29.9,$1.94,15.41
2016-04-30,30.32,$1.80,16.84
2016-01-31,22.88,$1.80,12.71
2015-10-31,28.6,$1.79,15.98
2015-07-31,32.62,$1.72,18.97
2015-04-30,40.04,$1.69,23.69
2015-01-31,34.86,$1.70,20.51
2014-10-31,30.36,$1.69,17.96
2014-07-31,35.73,$1.81,19.74
2014-04-30,35.66,$1.83,19.48
2014-01-31,35.82,$1.89,18.95
2013-10-31,37.88,$1.86,20.37
2013-07-31,42.56,$1.79,23.78
2013-04-30,41.44,$1.70,24.38
2013-01-31,42.8,$1.61,26.58
2012-10-31,35.75,$1.32,27.08
2012-07-31,30.55,$1.25,24.44
2012-04-30,28.96,$1.18,24.54
2012-01-31,26.5,$1.18,22.46
2011-10-31,27.25,$1.36,20.04
2011-07-31,32.54,$1.46,22.29
2011-04-30,31.47,$1.53,20.57
2011-01-31,33.82,$1.61,21.01
2010-10-31,30.79,$1.61,19.12
2010-07-31,32.16,$1.54,20.88
2010-04-30,37.56,$1.41,26.64
2010-01-31,31.57,$1.28,24.66
2009-10-31,31.38,$1.07,29.33
