Kenon Holdings PE Ratio Historical Data,Kenon Holdings PE Ratio Historical Data,Kenon Holdings PE Ratio Historical Data,Kenon Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.98,,0.0
2024-06-30,24.55,$-1.44,0.0
2024-03-31,22.85,$-4.13,0.0
2023-12-31,20.86,$-4.42,0.0
2023-09-30,19.46,$-20.16,0.0
2023-06-30,19.91,$-11.68,0.0
2023-03-31,22.95,$-6.20,0.0
2022-12-31,25.76,$5.80,4.44
2022-09-30,26.75,$28.71,0.93
2022-06-30,31.09,$27.51,1.13
2022-03-31,53.01,$25.79,2.06
2021-12-31,38.29,$17.27,2.22
2021-09-30,30.22,$9.99,3.03
2021-06-30,24.0,$7.79,3.08
2021-03-31,20.06,$4.87,4.12
2020-12-31,19.79,$1.53,12.94
2020-09-30,13.69,$2.06,6.65
2020-03-31,8.54,$0.68,12.55
2019-12-31,12.61,$0.16,78.79
2019-09-30,11.26,$0.16,70.38
2019-06-30,12.18,$-0.75,0.0
2019-03-31,10.98,$9.51,1.15
2018-12-31,8.36,$9.75,0.86
2018-09-30,8.75,$9.32,0.94
2018-03-31,8.23,$9.87,0.83
2017-12-31,6.62,$-0.64,0.0
2017-09-30,4.85,$-1.50,0.0
2017-06-30,4.13,$-1.97,0.0
2017-03-31,3.54,$-7.38,0.0
2016-12-31,3.56,$-7.67,0.0
2016-09-30,3.45,$-8.89,0.0
2016-06-30,3.12,$-4.92,0.0
2016-03-31,2.43,$0.56,4.34
2015-12-31,3.06,$1.32,2.32
2015-09-30,4.03,$2.87,1.41
2015-06-30,4.75,$4.99,0.95
