Waste Connections PE Ratio Historical Data,Waste Connections PE Ratio Historical Data,Waste Connections PE Ratio Historical Data,Waste Connections PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,182.43,,54.62
2024-06-30,175.08,$3.34,52.42
2024-03-31,171.44,$3.08,55.66
2023-12-31,148.53,$2.96,50.18
2023-09-30,133.34,$3.22,41.41
2023-06-30,141.65,$3.25,43.58
2023-03-31,137.58,$3.31,41.56
2022-12-31,130.89,$3.23,40.52
2022-09-30,133.18,$3.12,42.68
2022-06-30,121.97,$2.64,46.2
2022-03-31,137.21,$2.45,56.01
2021-12-31,133.6,$2.37,56.37
2021-09-30,123.25,$2.23,55.27
2021-06-30,116.7,$2.39,48.83
2021-03-31,105.33,$0.85,123.92
2020-12-31,99.85,$0.78,128.01
2020-09-30,100.85,$0.78,129.3
2020-06-30,90.96,$0.78,116.62
2020-03-31,75.0,$2.20,34.09
2019-12-31,87.7,$2.14,40.98
2019-09-30,88.68,$2.14,41.44
2019-06-30,91.97,$2.11,43.59
2019-03-31,85.1,$2.07,41.11
2018-12-31,71.19,$2.06,34.56
2018-09-30,76.32,$2.75,27.75
2018-06-30,71.9,$2.65,27.13
2018-03-31,68.39,$2.60,26.3
2017-12-31,67.49,$2.18,30.91
2017-09-30,66.43,$1.32,50.32
2017-06-30,61.05,$1.18,51.6
2017-03-31,55.63,$0.85,65.71
2016-12-31,49.46,$0.77,64.6
2016-09-30,46.9,$1.02,45.96
2016-06-30,45.14,$0.98,46.16
2016-03-31,40.42,$1.30,31.06
2015-12-31,35.17,$1.55,22.68
2015-09-30,30.28,$1.20,25.13
2015-06-30,29.29,$1.41,20.74
2015-03-31,29.84,$1.45,20.53
2014-12-31,27.2,$1.55,17.54
2014-09-30,29.91,$1.74,17.14
2014-06-30,29.84,$1.48,20.14
2014-03-31,26.88,$1.37,19.61
2013-12-31,26.65,$1.40,19.06
2013-09-30,27.57,$1.11,24.89
2013-06-30,24.84,$1.26,19.72
2013-03-31,21.6,$1.20,17.93
2012-12-31,20.15,$1.12,17.97
2012-09-30,17.91,$-2.45,0.0
2012-06-30,17.58,$-2.38,0.0
2012-03-31,18.97,$-2.30,0.0
2011-12-31,19.19,$-2.30,0.0
2011-09-30,19.46,$1.38,14.05
2011-06-30,18.14,$1.20,15.06
2011-03-31,16.35,$1.08,15.14
2010-12-31,15.52,$1.07,14.56
2010-09-30,14.8,$0.97,15.27
2010-06-30,13.02,$0.97,13.43
2010-03-31,12.63,$0.93,13.62
2009-12-31,12.36,$0.87,14.17
