BJ's Wholesale Club Holdings PE Ratio Historical Data,BJ's Wholesale Club Holdings PE Ratio Historical Data,BJ's Wholesale Club Holdings PE Ratio Historical Data,BJ's Wholesale Club Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,85.62,,21.62
2024-07-31,87.96,$3.96,22.21
2024-04-30,74.68,$3.85,19.4
2024-01-31,64.34,$3.87,16.63
2023-10-31,68.12,$3.74,18.21
2023-07-31,66.31,$3.72,17.83
2023-04-30,76.37,$3.78,20.2
2023-01-31,72.47,$3.75,19.33
2022-10-31,77.4,$3.58,21.62
2022-07-31,67.7,$3.55,19.07
2022-04-30,64.35,$3.32,19.38
2022-01-31,61.47,$3.09,19.89
2021-10-31,58.44,$3.00,19.48
2021-07-31,50.64,$2.96,17.11
2021-04-30,44.67,$2.92,15.3
2021-01-31,42.07,$3.02,13.93
2020-10-31,38.29,$2.63,14.56
2020-07-31,40.05,$2.15,18.63
2020-04-30,26.31,$1.78,14.78
2020-01-31,20.52,$1.34,15.31
2019-10-31,26.7,$1.50,17.8
2019-07-31,23.56,$1.49,15.81
2019-04-30,28.35,$1.05,27.0
