Green Brick Partners PE Ratio Historical Data,Green Brick Partners PE Ratio Historical Data,Green Brick Partners PE Ratio Historical Data,Green Brick Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,82.02,,11.27
2024-06-30,57.24,$7.28,7.86
2024-03-31,60.23,$6.59,9.14
2023-12-31,51.94,$6.14,8.46
2023-09-30,41.51,$5.74,7.23
2023-06-30,56.8,$5.75,9.88
2023-03-31,35.06,$6.20,5.65
2022-12-31,24.23,$6.03,4.02
2022-09-30,21.38,$6.09,3.51
2022-06-30,19.57,$5.47,3.58
2022-03-31,19.76,$4.41,4.48
2021-12-31,30.33,$3.72,8.15
2021-09-30,20.52,$3.06,6.71
2021-06-30,22.74,$2.79,8.15
2021-03-31,22.68,$2.43,9.33
2020-12-31,22.96,$2.23,10.3
2020-09-30,16.1,$1.96,8.21
2020-06-30,11.85,$1.59,7.45
2020-03-31,8.05,$1.22,6.6
2019-12-31,11.48,$1.16,9.9
2019-09-30,10.7,$1.11,9.64
2019-06-30,8.31,$1.04,7.99
2019-03-31,8.75,$1.04,8.41
2018-12-31,7.24,$1.01,7.17
2018-09-30,10.1,$0.59,17.12
2018-06-30,9.8,$0.54,18.15
2018-03-31,10.9,$0.41,26.59
2017-12-31,11.3,$0.32,35.31
2017-09-30,9.9,$0.64,15.47
2017-06-30,11.45,$0.58,19.74
2017-03-31,9.95,$0.56,17.77
2016-12-31,10.05,$0.49,20.51
2016-09-30,8.26,$0.40,20.65
2016-06-30,7.27,$0.33,22.03
2016-03-31,7.59,$0.31,24.48
2015-12-31,7.2,$0.38,18.95
2015-09-30,10.82,$1.55,6.98
2015-06-30,10.95,$1.49,7.35
2015-03-31,8.28,$0.86,9.62
2014-12-31,8.2,$0.60,13.67
2014-09-30,6.38,$-0.64,0.0
2014-06-30,6.87,$-1.48,0.0
2014-03-31,7.3,$-1.74,0.0
2013-12-31,1.71,$-2.48,0.0
2013-09-30,3.65,$-4.37,0.0
2013-06-30,3.34,$-5.41,0.0
2013-03-31,5.11,$-6.69,0.0
2012-12-31,3.68,$-7.62,0.0
2012-09-30,5.07,$-5.13,0.0
2012-06-30,3.56,$-2.85,0.0
2012-03-31,13.0,$-2.20,0.0
2011-12-31,13.6,$-2.60,0.0
2011-09-30,3.8,$-4.00,0.0
2011-06-30,8.2,$-5.40,0.0
2011-03-31,16.4,$-11.40,0.0
2010-12-31,34.8,$-15.60,0.0
2010-09-30,39.8,$-10.60,0.0
2010-06-30,26.6,$-14.80,0.0
2010-03-31,58.8,$-13.00,0.0
2009-12-31,54.2,$-13.40,0.0
