First Financial Bancorp PE Ratio Historical Data,First Financial Bancorp PE Ratio Historical Data,First Financial Bancorp PE Ratio Historical Data,First Financial Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.43,,10.88
2024-06-30,22.02,$2.43,9.06
2024-03-31,21.99,$2.48,8.87
2023-12-31,23.05,$2.69,8.57
2023-09-30,18.8,$2.82,6.67
2023-06-30,19.4,$2.75,7.05
2023-03-31,20.41,$2.61,7.82
2022-12-31,22.51,$2.31,9.74
2022-09-30,19.41,$2.08,9.33
2022-06-30,17.68,$2.12,8.34
2022-03-31,20.77,$2.09,9.94
2021-12-31,21.77,$2.13,10.22
2021-09-30,20.7,$2.12,9.76
2021-06-30,20.69,$1.91,10.83
2021-03-31,20.82,$1.77,11.76
2020-12-31,15.06,$1.58,9.53
2020-09-30,10.16,$1.58,6.43
2020-06-30,11.57,$1.67,6.93
2020-03-31,12.21,$1.82,6.71
2019-12-31,20.6,$2.00,10.3
2019-09-30,19.63,$2.07,9.48
2019-06-30,19.23,$2.07,9.29
2019-03-31,18.92,$1.91,9.91
2018-12-31,18.51,$1.93,9.59
2018-09-30,23.01,$1.77,13.0
2018-06-30,23.59,$1.70,13.88
2018-03-31,22.45,$1.70,13.21
2017-12-31,20.02,$1.60,12.51
2017-09-30,19.75,$1.58,12.5
2017-06-30,20.77,$1.51,13.76
2017-03-31,20.45,$1.46,14.0
2016-12-31,21.06,$1.39,15.15
2016-09-30,16.07,$1.31,12.27
2016-03-31,13.17,$1.25,10.54
2015-12-31,12.97,$1.22,10.63
2015-09-30,13.58,$1.20,11.32
2015-06-30,12.66,$1.16,10.91
2015-03-31,12.46,$1.13,11.02
2014-12-31,12.88,$1.10,11.71
2014-09-30,10.88,$0.87,12.5
2014-06-30,11.72,$0.87,13.47
2014-03-31,12.13,$0.86,14.1
2013-12-31,11.65,$0.96,12.14
2013-09-30,10.05,$1.17,8.59
2013-06-30,9.7,$1.19,8.15
2016-06-30,14.21,$1.22,11.65
2012-12-31,9.2,$1.15,8.0
2012-09-30,10.44,$1.18,8.85
2012-06-30,9.69,$1.14,8.5
2012-03-31,10.3,$1.11,9.28
2011-12-31,9.72,$1.09,8.92
2013-03-31,10.29,$1.07,9.62
2011-09-30,7.93,$1.07,7.41
2011-06-30,9.43,$1.07,8.81
2011-03-31,9.36,$1.10,8.51
2010-12-31,10.29,$0.98,10.49
2010-09-30,9.23,$0.99,9.33
2010-06-30,8.22,$5.10,1.61
2010-03-31,9.72,$4.81,2.02
2009-12-31,7.91,$4.78,1.66
