Suzano S.A PE Ratio Historical Data,Suzano S.A PE Ratio Historical Data,Suzano S.A PE Ratio Historical Data,Suzano S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.72,,194.4
2024-06-30,10.27,$0.05,205.4
2024-03-31,12.78,$1.40,9.13
2023-12-31,11.36,$2.13,5.33
2023-09-30,10.51,$2.51,4.19
2023-06-30,9.01,$3.42,2.63
2023-03-31,8.02,$2.66,3.02
2022-12-31,9.03,$3.36,2.69
2022-09-30,7.78,$2.59,3.0
2022-06-30,8.93,$1.66,5.38
2022-03-31,10.83,$1.26,8.6
2021-12-31,9.95,$0.61,16.31
2021-09-30,9.21,$0.14,65.79
2021-03-31,11.25,0,0.0
2020-12-31,10.3,$-1.88,0.0
2020-09-30,7.52,$-2.48,0.0
2020-06-30,6.23,$-0.92,0.0
2020-03-31,6.33,$-0.51,0.0
2019-12-31,9.06,$1.50,6.06
2021-06-30,11.09,$0.64,17.46
