Compass Diversified Holdings PE Ratio Historical Data,Compass Diversified Holdings PE Ratio Historical Data,Compass Diversified Holdings PE Ratio Historical Data,Compass Diversified Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,22.0,,314.29
2024-06-30,21.42,$0.07,305.94
2024-03-31,23.29,$0.17,136.97
2023-12-31,21.47,$2.31,9.29
2023-09-30,17.7,$0.27,65.56
2023-06-30,20.23,$0.39,51.87
2023-03-31,17.56,$0.91,19.3
2022-12-31,16.58,$-0.24,0.0
2022-09-30,16.2,$0.02,810.12
2022-06-30,19.01,$1.20,15.84
2022-03-31,20.87,$0.65,32.11
2021-12-31,26.61,$0.52,51.18
2021-09-30,24.23,$0.54,44.87
2021-06-30,20.98,$-0.13,0.0
2021-03-31,18.77,$-0.05,0.0
2020-12-31,15.5,$-0.32,0.0
2020-09-30,14.91,$-0.49,0.0
2020-06-30,13.21,$-2.09,0.0
2020-03-31,10.03,$1.59,6.31
2019-12-31,18.35,$3.57,5.14
2019-09-30,14.29,$3.55,4.02
2019-06-30,13.6,$4.78,2.85
2019-03-31,10.92,$1.30,8.4
2018-12-31,8.45,$-0.51,0.0
2018-09-30,12.07,$0.27,44.71
2018-06-30,11.27,$0.44,25.62
2018-03-31,10.45,$0.01,0.0
2017-12-31,10.58,$-0.50,0.0
2017-09-30,10.86,$-1.17,0.0
2017-06-30,10.46,$-0.52,0.0
2017-03-31,9.74,$0.34,28.64
2016-12-31,10.29,$0.63,16.33
2016-09-30,9.79,$0.38,25.77
2016-06-30,9.15,$2.64,3.47
2016-03-31,8.44,$2.71,3.11
2015-12-31,8.36,$2.55,3.28
2015-09-30,8.3,$3.07,2.7
2015-06-30,8.27,$5.21,1.59
2015-03-31,8.45,$4.92,1.72
2014-12-31,7.85,$5.47,1.44
2014-09-30,8.3,$4.87,1.7
2014-06-30,8.44,$1.24,6.8
2014-03-31,8.62,$1.12,7.7
2013-12-31,8.78,$1.07,8.21
2013-09-30,7.82,$1.40,5.59
2013-06-30,7.55,$-0.05,0.0
2013-03-31,6.68,$-0.04,0.0
2012-12-31,6.06,$-0.09,0.0
2012-09-30,5.94,$1.24,4.79
2012-06-30,5.47,$1.34,4.08
2012-03-31,5.66,$1.48,3.82
2011-12-31,4.63,$1.35,3.43
2011-09-30,4.43,$0.13,34.06
2011-06-30,5.86,$-0.76,0.0
2011-03-31,5.24,$-0.94,0.0
2010-12-31,6.02,$-1.23,0.0
2010-09-30,5.39,$-1.25,0.0
2010-06-30,4.37,$-0.47,0.0
2010-03-31,4.86,$-0.41,0.0
2009-12-31,3.96,$-0.84,0.0
