Bio-Techne Corp PE Ratio Historical Data,Bio-Techne Corp PE Ratio Historical Data,Bio-Techne Corp PE Ratio Historical Data,Bio-Techne Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,73.99,,71.14
2024-06-30,71.57,$1.04,68.82
2024-03-31,70.25,$1.26,55.75
2023-12-31,76.91,$1.38,55.73
2023-09-30,67.76,$1.52,44.58
2023-06-30,81.17,$1.76,46.05
2023-03-31,73.7,$1.67,44.13
2022-12-31,82.25,$1.61,51.09
2022-09-30,70.39,$1.79,39.43
2022-06-30,85.84,$1.66,51.87
2022-03-31,107.15,$1.37,78.21
2021-12-31,127.91,$1.28,99.93
2021-09-30,119.73,$1.08,110.61
2021-06-30,111.18,$0.87,128.16
2021-03-31,94.23,$1.15,82.3
2020-12-31,78.28,$1.10,71.49
2020-09-30,61.01,$1.56,39.04
2020-06-30,64.95,$1.46,44.49
2020-03-31,46.58,$1.38,33.82
2019-12-31,53.84,$1.26,42.73
2019-06-30,50.98,$0.62,82.55
2019-03-31,48.47,$0.78,62.14
2018-12-31,35.27,$0.59,60.29
2018-09-30,49.65,$0.60,82.41
2018-06-30,35.92,$0.81,44.21
2019-09-30,47.92,$0.65,73.72
2018-03-31,36.6,$0.75,48.8
2017-12-31,31.32,$0.76,41.07
2017-09-30,29.15,$0.48,60.42
2017-06-30,28.26,$0.49,58.26
2017-03-31,24.37,$0.47,52.42
2016-12-31,24.58,$0.53,46.82
2016-09-30,26.1,$0.66,39.84
2016-06-30,26.79,$0.70,38.28
2016-03-31,22.39,$0.71,31.76
2015-12-31,21.24,$0.67,31.93
2015-09-30,21.74,$0.72,30.41
2015-06-30,23.08,$0.72,31.95
2015-03-31,23.43,$0.73,32.32
2014-12-31,21.52,$0.78,27.76
2014-09-30,21.71,$0.72,30.04
2014-06-30,21.41,$0.75,28.64
2014-03-31,19.68,$0.76,25.89
2013-12-31,21.75,$0.77,28.15
2013-09-30,18.32,$0.78,23.64
2013-06-30,15.75,$0.77,20.59
2013-03-31,15.4,$0.76,20.33
2012-12-31,15.44,$0.75,20.66
2012-09-30,16.19,$0.75,21.58
2012-06-30,16.63,$0.76,21.88
2012-03-31,15.64,$0.77,20.45
2011-12-31,15.17,$0.76,19.96
2011-09-30,15.06,$0.76,19.74
2011-06-30,18.38,$0.76,24.35
2011-03-31,15.73,$0.74,21.33
2010-12-31,14.37,$0.75,19.29
2010-09-30,13.45,$0.73,18.36
2010-06-30,12.47,$0.74,16.96
2010-03-31,13.74,$0.73,18.76
2009-12-31,14.75,$0.70,21.07
