ConnectOne Bancorp PE Ratio Historical Data,ConnectOne Bancorp PE Ratio Historical Data,ConnectOne Bancorp PE Ratio Historical Data,ConnectOne Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.68,,14.5
2024-06-30,18.74,$1.84,10.18
2024-03-31,19.17,$1.89,10.14
2023-12-31,22.33,$2.07,10.79
2023-09-30,17.23,$2.40,7.18
2023-06-30,15.9,$2.59,6.14
2023-03-31,16.73,$2.86,5.85
2022-12-31,22.76,$3.02,7.54
2022-09-30,21.55,$3.02,7.14
2022-06-30,22.72,$3.12,7.28
2022-03-31,29.58,$3.15,9.39
2021-12-31,30.1,$3.22,9.35
2021-09-30,27.52,$3.07,8.96
2021-06-30,23.9,$2.89,8.27
2021-03-31,23.06,$2.45,9.41
2020-12-31,17.93,$1.78,10.08
2020-09-30,12.69,$1.73,7.33
2020-06-30,14.45,$1.72,8.4
2020-03-31,11.97,$1.89,6.33
2019-12-31,22.82,$2.07,11.02
2019-09-30,19.62,$2.06,9.52
2019-06-30,19.95,$2.06,9.68
2019-03-31,17.27,$2.06,8.38
2018-12-31,16.12,$1.86,8.67
2018-09-30,20.66,$1.61,12.83
2018-06-30,21.6,$1.41,15.32
2018-03-31,24.92,$1.11,22.45
2017-12-31,22.22,$1.35,16.46
2017-09-30,21.16,$0.95,22.28
2017-06-30,19.34,$0.93,20.79
2017-03-31,20.73,$1.05,19.74
2016-12-31,22.12,$1.02,21.68
2016-09-30,15.33,$1.40,10.95
2016-06-30,13.26,$1.37,9.68
2016-03-31,13.75,$1.36,10.11
2015-12-31,15.65,$1.36,11.51
2015-09-30,16.1,$1.32,12.19
2015-06-30,17.89,$1.02,17.54
2015-03-31,16.11,$0.93,17.33
2014-12-31,15.67,$0.86,18.22
2014-09-30,15.65,$0.89,17.58
2014-06-30,15.73,$1.14,13.8
2014-03-31,15.48,$1.18,13.12
2013-12-31,15.22,$1.21,12.58
2013-09-30,11.5,$1.18,9.74
2013-06-30,10.19,$1.14,8.94
2013-03-31,9.94,$1.10,9.03
2012-12-31,9.21,$1.05,8.77
2012-09-30,9.44,$0.98,9.63
2012-06-30,8.87,$0.93,9.53
2012-03-31,7.88,$0.88,8.96
2011-12-31,7.65,$0.81,9.45
2011-09-30,7.54,$0.76,9.92
2011-06-30,8.13,$0.68,11.96
2011-03-31,7.45,$0.60,12.41
2010-12-31,6.31,$0.43,14.66
2010-09-30,5.93,$0.34,17.43
2010-06-30,5.82,$0.31,18.77
2010-03-31,6.36,$0.26,24.45
2009-12-31,6.8,$0.30,22.67
