Textron PE Ratio Historical Data,Textron PE Ratio Historical Data,Textron PE Ratio Historical Data,Textron PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,91.2,,19.32
2024-06-30,85.86,$4.72,18.19
2024-03-31,95.91,$4.68,20.49
2023-12-31,80.38,$4.57,17.59
2023-09-30,78.09,$4.64,16.83
2023-06-30,67.56,$4.35,15.53
2023-03-31,70.54,$4.05,17.42
2022-12-31,70.69,$4.01,17.63
2022-09-30,58.15,$3.87,15.03
2022-06-30,60.94,$3.63,16.79
2022-03-31,74.2,$3.43,21.63
2021-12-31,76.72,$3.30,23.25
2021-09-30,69.36,$3.40,20.4
2021-06-30,68.31,$3.08,22.18
2021-03-31,55.69,$1.88,29.62
2020-12-31,47.97,$1.35,35.54
2020-09-30,35.81,$1.19,30.09
2020-06-30,32.64,$1.64,19.9
2020-03-31,26.43,$2.97,8.9
2019-12-31,44.17,$3.51,12.58
2019-09-30,48.46,$3.66,13.24
2019-06-30,52.48,$4.97,10.56
2019-03-31,50.11,$4.91,10.2
2018-12-31,45.47,$4.87,9.34
2018-09-30,70.63,$3.45,20.47
2018-06-30,65.12,$1.79,36.38
2018-03-31,58.24,$1.49,39.09
2017-12-31,55.88,$1.14,49.01
2017-09-30,53.18,$2.32,22.92
2017-06-30,46.47,$3.27,14.21
2017-03-31,46.93,$3.35,14.01
2016-12-31,47.87,$3.53,13.56
2016-09-30,39.17,$3.57,10.97
2016-06-30,36.01,$2.65,13.59
2016-03-31,35.89,$2.60,13.8
2015-12-31,41.33,$2.51,16.47
2015-09-30,37.01,$2.45,15.11
2015-06-30,43.87,$2.39,18.35
2015-03-31,43.55,$2.30,18.94
2014-12-31,41.35,$2.14,19.32
2014-09-30,35.32,$1.97,17.93
2014-06-30,37.56,$1.75,21.46
2014-03-31,38.52,$1.64,23.49
2013-12-31,36.02,$1.75,20.59
2013-09-30,27.04,$1.67,16.19
2013-06-30,25.49,$1.83,13.93
2013-03-31,29.15,$2.01,14.5
2012-12-31,24.23,$2.00,12.11
2012-09-30,25.55,$1.42,18.0
2012-06-30,24.27,$1.38,17.59
2012-03-31,27.13,$1.09,24.89
2011-12-31,18.01,$0.78,23.09
2011-09-30,17.17,$1.04,16.51
2011-06-30,22.95,$0.40,57.37
2011-03-31,26.6,$0.38,69.99
2010-12-31,22.94,$0.26,88.23
2010-09-30,19.93,$-0.16,0.0
2010-06-30,16.43,$0.02,821.73
2010-03-31,20.54,$-0.47,0.0
2009-12-31,18.18,$-0.09,0.0
