Xenon Pharmaceuticals PE Ratio Historical Data,Xenon Pharmaceuticals PE Ratio Historical Data,Xenon Pharmaceuticals PE Ratio Historical Data,Xenon Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,43.31,,0.0
2024-06-30,38.99,$-2.74,0.0
2024-03-31,43.05,$-2.71,0.0
2023-12-31,46.06,$-2.72,0.0
2023-09-30,34.16,$-2.65,0.0
2023-06-30,38.5,$-2.49,0.0
2023-03-31,35.79,$-2.32,0.0
2022-12-31,39.43,$-2.04,0.0
2022-09-30,36.1,$-2.04,0.0
2022-06-30,30.42,$-1.83,0.0
2022-03-31,30.57,$-1.79,0.0
2021-12-31,31.24,$-1.86,0.0
2021-09-30,15.28,$-1.63,0.0
2021-06-30,18.62,$-1.52,0.0
2021-03-31,17.9,$-1.01,0.0
2020-12-31,15.38,$-0.81,0.0
2020-09-30,11.07,$-0.89,0.0
2020-06-30,12.54,$-0.97,0.0
2020-03-31,11.34,$-1.34,0.0
2019-12-31,13.11,$-1.33,0.0
2019-09-30,9.01,$-1.36,0.0
2019-06-30,9.86,$-1.46,0.0
2018-03-31,4.9,$-1.50,0.0
2017-12-31,2.83,$-1.72,0.0
2017-09-30,2.95,$-1.59,0.0
2017-06-30,3.15,$-1.67,0.0
2017-03-31,4.0,$-1.68,0.0
2016-12-31,7.7,$-1.48,0.0
2016-09-30,8.1,$-1.43,0.0
2016-06-30,5.9,$-1.19,0.0
2016-03-31,6.99,$-0.84,0.0
2015-12-31,8.04,$-0.91,0.0
2015-09-30,8.26,$0.93,8.88
2015-06-30,11.53,$0.78,14.78
2015-03-31,16.87,$0.56,30.12
2014-12-31,19.75,$0.23,85.87
2019-03-31,10.16,$-1.79,0.0
