MidCap Financial Investment PE Ratio Historical Data,MidCap Financial Investment PE Ratio Historical Data,MidCap Financial Investment PE Ratio Historical Data,MidCap Financial Investment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.39,,7.83
2024-06-30,14.5,$1.71,8.48
2024-03-31,14.06,$1.75,8.03
2023-12-31,12.46,$1.82,6.85
2023-09-30,12.18,$1.31,9.29
2023-06-30,10.81,$1.10,9.83
2023-03-31,9.52,$0.80,11.9
2022-12-31,9.19,$0.41,22.42
2022-09-30,7.98,$0.73,10.93
2022-06-30,8.19,$0.87,9.42
2022-03-31,9.73,$1.27,7.66
2021-12-31,9.16,$1.20,7.63
2021-09-30,9.03,$1.39,6.49
2021-06-30,9.46,$1.51,6.27
2021-03-31,9.28,$1.07,8.67
2020-12-31,7.0,$1.07,6.55
2020-09-30,5.28,$0.56,9.43
2020-06-30,5.87,$0.15,39.14
2020-03-31,3.97,$0.45,8.82
2019-12-31,9.71,$0.45,21.57
2019-09-30,8.72,$0.43,20.29
2019-06-30,8.34,$0.72,11.58
2019-03-31,7.77,$0.55,14.13
2018-12-31,6.18,$0.55,11.24
2018-09-30,7.87,$0.66,11.92
2018-06-30,7.84,$0.69,11.36
2018-03-31,7.16,$0.90,7.95
2017-12-31,7.55,$0.90,8.39
2017-09-30,7.94,$0.96,8.27
2017-06-30,8.1,$1.08,7.5
2017-03-31,8.13,$0.12,67.73
2016-12-31,7.09,$0.12,59.11
2016-09-30,6.85,$-0.36,0.0
2016-06-30,6.38,$-0.93,0.0
2016-03-31,6.16,$-0.27,0.0
2015-12-31,5.59,$-0.27,0.0
2015-09-30,5.65,$-0.21,0.0
2015-06-30,7.08,$0.36,19.65
2015-03-31,7.47,$1.08,6.92
2014-12-31,7.04,$1.08,6.51
2014-09-30,7.54,$2.70,2.79
2014-06-30,7.76,$3.15,2.46
2014-03-31,7.32,$2.61,2.8
2013-12-31,7.29,$2.61,2.79
2013-09-30,6.85,$0.93,7.36
2013-06-30,6.35,$0.99,6.41
2013-03-31,6.69,$1.29,5.19
2012-12-31,6.53,$1.29,5.06
2012-09-30,6.01,$2.55,2.36
2012-06-30,5.71,$-2.58,0.0
2012-03-31,5.2,$-2.43,0.0
2011-12-31,4.54,$-2.43,0.0
2011-09-30,5.08,$-2.07,0.0
2011-06-30,6.68,$2.79,2.39
2011-03-31,7.69,$2.73,2.82
2010-12-31,6.88,$2.73,2.52
2010-09-30,6.21,$2.88,2.15
2010-06-30,5.51,$4.23,1.3
2010-03-31,7.32,$4.62,1.58
2009-12-31,5.36,$4.62,1.16
