Knowles PE Ratio Historical Data,Knowles PE Ratio Historical Data,Knowles PE Ratio Historical Data,Knowles PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.91,,0.0
2024-06-30,17.26,$-2.17,0.0
2024-03-31,16.1,$0.88,18.3
2023-12-31,17.91,$0.79,22.67
2023-09-30,14.81,$-2.01,0.0
2023-06-30,18.06,$-2.16,0.0
2023-03-31,17.0,$-4.95,0.0
2022-12-31,16.42,$-4.70,0.0
2022-09-30,12.17,$-1.44,0.0
2022-06-30,17.33,$-1.18,0.0
2022-03-31,21.53,$1.65,13.05
2021-12-31,23.35,$1.59,14.69
2021-09-30,18.74,$0.93,20.15
2021-06-30,19.74,$0.70,28.2
2021-03-31,20.92,$0.30,69.73
2020-12-31,18.43,$0.07,263.29
2020-09-30,14.9,$-0.04,0.0
2020-06-30,15.26,$0.17,89.76
2020-03-31,13.38,$0.44,30.41
2019-12-31,21.15,$0.51,41.47
2019-09-30,20.34,$1.17,17.38
2019-06-30,18.31,$0.72,25.43
2019-03-31,17.63,$0.71,24.83
2018-12-31,13.31,$0.74,17.99
2018-09-30,16.62,$0.81,20.52
2018-06-30,15.3,$1.16,13.19
2018-03-31,12.59,$0.78,16.14
2017-12-31,14.66,$0.74,19.81
2017-09-30,15.27,$0.02,763.5
2017-06-30,16.92,$-0.23,0.0
2017-03-31,18.95,$-0.18,0.0
2016-12-31,16.71,$-0.47,0.0
2016-09-30,14.05,$-2.80,0.0
2016-06-30,13.68,$-2.89,0.0
2016-03-31,13.18,$-2.80,0.0
2015-12-31,13.33,$-2.66,0.0
2015-09-30,18.43,$-0.56,0.0
2015-06-30,18.1,$-0.56,0.0
2015-03-31,19.27,$-1.30,0.0
2014-12-31,23.55,$-1.02,0.0
