Embotelladora Andina S.A PE Ratio Historical Data,Embotelladora Andina S.A PE Ratio Historical Data,Embotelladora Andina S.A PE Ratio Historical Data,Embotelladora Andina S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.98,,11.3
2024-06-30,17.2,$1.68,10.24
2024-03-31,14.9,$1.62,9.2
2023-12-31,14.91,$1.48,10.07
2023-09-30,12.95,$1.22,10.61
2023-06-30,15.58,$0.98,15.9
2023-03-31,15.55,$1.07,14.53
2022-12-31,14.51,$1.00,14.51
2022-09-30,10.13,$1.24,8.17
2022-06-30,11.12,$1.32,8.42
2022-03-31,13.61,$1.14,11.93
2021-12-31,12.89,$1.25,10.31
2021-09-30,12.95,$1.11,11.67
2021-06-30,14.5,$1.00,14.5
2021-03-31,15.4,$1.00,15.4
2020-12-31,14.46,$1.01,14.31
2020-09-30,12.36,$1.36,9.09
2020-06-30,14.23,$1.38,10.32
2020-03-31,11.35,$1.51,7.52
2019-12-31,15.93,$1.57,10.15
2019-09-30,18.06,$1.17,15.44
2019-06-30,19.17,$1.04,18.44
2019-03-31,19.09,$1.01,18.9
2018-12-31,19.96,$1.05,19.01
2018-09-30,19.86,$1.13,17.57
2018-06-30,19.76,$1.24,15.94
2018-03-31,24.9,$1.22,20.41
2017-12-31,24.73,$1.16,21.32
2017-09-30,23.11,$1.07,21.59
2017-06-30,21.15,$1.01,20.94
2017-03-31,19.33,$0.97,19.92
2016-12-31,18.41,$0.85,21.66
2016-09-30,18.38,$0.77,23.87
2016-06-30,17.12,$0.74,23.13
2016-03-31,15.27,$0.78,19.58
2015-12-31,13.8,$0.85,16.23
2015-09-30,16.34,$1.00,16.34
2015-06-30,15.58,$0.97,16.06
2015-03-31,11.68,$0.92,12.69
2014-12-31,13.11,$0.83,15.8
2014-09-30,14.67,$0.59,24.86
2014-06-30,17.21,$0.68,25.31
2014-03-31,16.01,$0.97,16.5
2013-09-30,24.26,$1.20,20.21
2013-06-30,25.38,$1.23,20.63
2013-03-31,29.32,$1.22,24.03
2012-12-31,27.83,$1.26,22.09
2012-09-30,24.92,$1.28,19.47
2012-06-30,23.44,$1.43,16.39
2012-03-31,24.07,$1.51,15.94
2011-12-31,18.57,$1.64,11.32
2011-09-30,17.42,$1.66,10.49
2011-06-30,20.11,$1.60,12.57
2011-03-31,20.3,$1.57,12.93
2010-12-31,20.88,$1.55,13.47
2010-09-30,19.67,$1.42,13.85
2010-06-30,15.33,$1.62,9.46
2010-03-31,13.61,$1.68,8.1
2013-12-31,21.19,$1.38,15.36
2009-12-31,13.56,$1.27,10.68
