Surgery Partners PE Ratio Historical Data,Surgery Partners PE Ratio Historical Data,Surgery Partners PE Ratio Historical Data,Surgery Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.03,,0.0
2024-06-30,23.79,$-0.27,0.0
2024-03-31,29.83,$-0.00,0.0
2023-12-31,31.99,$-0.10,0.0
2023-09-30,29.25,$-0.32,0.0
2023-06-30,44.99,$-0.56,0.0
2023-03-31,34.47,$-0.92,0.0
2022-12-31,27.86,$-0.58,0.0
2022-09-30,23.4,$-0.35,0.0
2022-06-30,28.92,$-0.35,0.0
2022-03-31,55.05,$-0.53,0.0
2021-12-31,53.41,$-1.24,0.0
2021-09-30,42.34,$-1.34,0.0
2021-06-30,66.62,$-2.52,0.0
2021-03-31,44.26,$-2.99,0.0
2020-12-31,29.01,$-3.18,0.0
2020-09-30,21.9,$-3.65,0.0
2020-06-30,11.57,$-2.70,0.0
2020-03-31,6.53,$-2.43,0.0
2019-12-31,15.66,$-2.27,0.0
2019-09-30,7.39,$-4.95,0.0
2019-06-30,8.14,$-5.05,0.0
2019-03-31,11.28,$-5.03,0.0
2018-12-31,9.79,$-4.96,0.0
2018-09-30,16.5,$-2.54,0.0
2018-06-30,14.9,$-2.59,0.0
2018-03-31,17.15,$-2.11,0.0
2017-12-31,12.1,$-1.64,0.0
2017-09-30,10.35,$-0.46,0.0
2017-06-30,22.75,$0.15,151.67
2017-03-31,19.5,$0.28,69.64
2016-12-31,15.85,$0.19,83.42
2016-09-30,20.24,$0.19,106.53
