REV PE Ratio Historical Data,REV PE Ratio Historical Data,REV PE Ratio Historical Data,REV PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,29.82,,7.12
2024-07-31,29.13,$4.19,6.95
2024-04-30,21.78,$4.09,5.32
2024-01-31,16.42,$4.05,4.06
2023-10-31,11.95,$0.76,15.72
2023-07-31,10.82,$0.41,26.38
2023-04-30,8.94,$0.32,27.94
2023-01-31,10.63,$0.04,265.76
2022-10-31,11.36,$0.26,43.68
2022-07-31,9.58,$0.11,87.08
2022-04-30,9.76,$0.31,31.5
2022-01-31,10.96,$0.66,16.61
2021-10-31,12.29,$0.67,18.34
2021-07-31,12.25,$0.51,24.03
2021-04-30,14.74,$0.09,163.83
2021-01-31,8.35,$-0.34,0.0
2020-10-31,6.35,$-0.49,0.0
2020-07-31,5.25,$-0.47,0.0
2020-04-30,4.3,$-0.32,0.0
2020-01-31,8.01,$-0.11,0.0
2019-10-31,9.92,$-0.19,0.0
2019-07-31,11.57,$-0.40,0.0
2019-04-30,10.04,$-0.21,0.0
2019-01-31,6.55,$-0.19,0.0
2018-10-31,8.55,$0.18,47.49
2018-07-31,13.39,$0.88,15.21
2018-04-30,14.03,$0.83,16.91
2018-01-31,22.68,$0.82,27.66
2017-10-31,19.97,$0.42,47.55
