POSCO PE Ratio Historical Data,POSCO PE Ratio Historical Data,POSCO PE Ratio Historical Data,POSCO PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,62.29,,19.34
2024-06-30,65.74,$3.22,20.42
2024-03-31,77.87,$3.81,20.44
2023-12-31,93.9,$4.76,19.73
2023-09-30,101.2,$7.07,14.31
2023-06-30,72.67,$7.15,10.16
2023-03-31,68.05,$9.28,7.33
2022-12-31,53.19,$11.60,4.58
2022-09-30,35.5,$13.67,2.6
2022-06-30,42.75,$19.31,2.21
2022-03-31,55.99,$20.35,2.75
2021-12-31,54.48,$18.89,2.88
2021-09-30,63.36,$17.03,3.72
2021-06-30,69.48,$11.10,6.26
2021-03-31,64.62,$6.30,10.26
2020-12-31,55.25,$4.30,12.85
2020-09-30,36.53,$2.43,15.03
2020-06-30,32.06,$2.38,13.47
2020-03-31,28.18,$3.91,7.21
2019-12-31,43.28,$4.93,8.78
2019-09-30,39.69,$2.33,17.03
2019-06-30,44.25,$4.08,10.85
2019-03-31,45.69,$4.01,11.39
2018-12-31,45.13,$4.73,9.54
2018-09-30,53.15,$7.20,7.38
2018-06-30,59.3,$6.75,8.78
2018-03-31,62.8,$6.60,9.51
2017-12-31,61.95,$6.09,10.17
2017-09-30,54.46,$6.51,8.37
2017-06-30,48.88,$5.58,8.76
2017-03-31,50.11,$4.97,10.08
2016-12-31,40.61,$3.62,11.22
2016-09-30,38.57,$0.71,54.32
2016-06-30,33.5,$-2.33,0.0
2016-03-31,35.35,$-2.60,0.0
2015-12-31,26.41,$-2.56,0.0
2015-09-30,25.26,$-0.70,0.0
2015-06-30,35.41,$1.57,22.55
2015-03-31,39.1,$2.73,14.32
2014-12-31,45.65,$1.97,23.17
2014-09-30,54.3,$3.38,16.06
2014-06-30,53.25,$4.28,12.44
2014-03-31,49.65,$3.32,14.96
2013-12-31,55.8,$3.97,14.06
2013-09-30,51.9,$4.90,10.59
2013-06-30,45.87,$5.39,8.51
2013-03-31,51.66,$6.09,8.48
2012-12-31,57.58,$7.06,8.16
2012-09-30,56.38,$8.32,6.78
2012-06-30,55.62,$6.87,8.1
2012-03-31,57.61,$9.38,6.14
2011-12-31,56.5,$10.71,5.28
2011-09-30,51.45,$9.21,5.59
2011-06-30,73.52,$11.25,6.54
2011-03-31,77.01,$10.53,7.31
2010-12-31,72.56,$11.80,6.15
2010-09-30,75.81,$14.05,5.4
2010-06-30,62.73,$14.48,4.33
2010-03-31,77.49,$12.36,6.27
2009-12-31,86.82,$8.71,9.97
