Navient PE Ratio Historical Data,Navient PE Ratio Historical Data,Navient PE Ratio Historical Data,Navient PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.82,,11.63
2024-06-30,14.41,$1.36,10.6
2024-03-31,17.04,$1.56,10.92
2023-12-31,18.05,$1.78,10.14
2023-09-30,16.54,$2.81,5.89
2023-06-30,17.69,$2.91,6.08
2023-03-31,15.07,$3.61,4.17
2022-12-31,15.36,$4.42,3.48
2022-09-30,13.59,$3.57,3.81
2022-06-30,12.81,$3.86,3.32
2022-03-31,15.44,$3.69,4.18
2021-12-31,19.05,$4.02,4.74
2021-09-30,17.57,$5.08,3.46
2021-06-30,17.1,$5.11,3.35
2021-03-31,12.55,$4.70,2.67
2020-12-31,8.5,$2.17,3.92
2020-09-30,7.2,$1.96,3.67
2020-06-30,5.88,$1.52,3.87
2020-03-31,6.22,$1.52,4.09
2019-12-31,11.06,$2.57,4.3
2019-09-30,10.23,$2.07,4.94
2019-06-30,10.78,$1.87,5.76
2019-03-31,9.03,$1.54,5.86
2018-12-31,6.78,$1.49,4.55
2018-09-30,10.23,$0.89,11.49
2018-06-30,9.77,$1.10,8.88
2018-03-31,9.73,$1.18,8.24
2017-12-31,9.75,$1.01,9.66
2017-09-30,10.86,$1.81,6.0
2017-06-30,11.9,$1.90,6.26
2017-03-31,10.43,$1.89,5.52
2016-12-31,11.49,$2.12,5.42
2016-09-30,10.03,$2.43,4.13
2016-06-30,8.19,$2.33,3.51
2016-03-31,8.11,$2.42,3.35
2015-12-31,7.64,$2.61,2.93
2015-09-30,7.4,$2.46,3.01
2015-06-30,11.84,$2.68,4.42
2015-03-31,13.11,$2.92,4.49
