Wintrust Financial PE Ratio Historical Data,Wintrust Financial PE Ratio Historical Data,Wintrust Financial PE Ratio Historical Data,Wintrust Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,117.01,,12.18
2024-06-30,98.11,$9.61,10.21
2024-03-31,103.45,$10.09,10.25
2023-12-31,91.47,$9.43,9.7
2023-09-30,74.08,$9.77,7.58
2023-03-31,70.78,$8.73,8.11
2022-12-31,81.66,$8.00,10.21
2022-09-30,78.5,$7.35,10.68
2022-06-30,76.85,$7.52,10.22
2022-03-31,88.75,$7.80,11.38
2021-12-31,86.45,$7.43,11.63
2023-06-30,70.91,$8.39,8.45
2021-09-30,76.24,$7.64,9.98
2021-06-30,71.43,$7.54,9.47
2021-03-31,71.31,$6.18,11.54
2020-12-31,57.21,$4.68,12.22
2020-09-30,37.31,$4.49,8.31
2020-06-30,40.37,$4.51,8.95
2020-03-31,30.18,$5.55,5.44
2019-12-31,64.84,$6.03,10.75
2019-09-30,58.89,$5.94,9.91
2019-06-30,66.66,$5.82,11.45
2019-03-31,61.35,$5.97,10.28
2018-12-31,60.37,$5.85,10.32
2018-09-30,76.94,$5.67,13.57
2018-06-30,78.68,$5.22,15.07
2018-03-31,77.62,$4.80,16.17
2017-12-31,74.13,$4.40,16.85
2017-09-30,70.35,$4.17,16.87
2017-06-30,68.54,$3.97,17.27
2017-03-31,61.86,$3.76,16.45
2016-12-31,64.82,$3.40,19.06
2016-09-30,49.53,$3.15,15.72
2016-06-30,45.35,$3.08,14.72
2015-12-31,42.92,$2.94,14.6
2015-09-30,47.16,$3.05,15.46
2015-06-30,47.02,$3.26,14.42
2015-03-31,41.91,$3.20,13.1
2014-12-31,41.0,$3.20,12.81
2016-03-31,39.34,$3.13,12.57
2014-09-30,39.08,$2.93,13.34
2014-06-30,40.16,$2.85,14.09
2014-03-31,42.38,$2.78,15.25
2013-12-31,40.08,$2.75,14.57
2013-09-30,35.69,$2.66,13.42
2013-06-30,33.19,$2.61,12.72
2013-03-31,32.12,$2.44,13.16
2012-12-31,31.74,$2.29,13.86
2012-09-30,32.5,$2.09,15.55
2012-06-30,30.63,$2.08,14.73
2012-03-31,30.88,$1.81,17.06
2011-12-31,24.14,$1.67,14.45
2011-09-30,22.21,$1.20,18.51
2011-06-30,27.6,$1.02,27.06
2011-03-31,31.52,$1.02,30.91
2010-12-31,28.26,$1.07,26.41
2010-09-30,27.73,$2.03,13.66
2010-06-30,28.44,$2.63,10.81
2010-03-31,31.74,$2.44,13.01
2009-12-31,26.19,$2.09,12.53
