Twilio PE Ratio Historical Data,Twilio PE Ratio Historical Data,Twilio PE Ratio Historical Data,Twilio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,70.21,,0.0
2024-06-30,56.81,$-3.29,0.0
2024-03-31,61.15,$-4.01,0.0
2023-12-31,75.87,$-5.54,0.0
2023-09-30,58.53,$-4.77,0.0
2023-06-30,63.62,$-6.62,0.0
2023-03-31,66.63,$-7.48,0.0
2022-12-31,48.96,$-6.87,0.0
2022-09-30,69.14,$-7.26,0.0
2022-06-30,83.81,$-5.89,0.0
2022-03-31,164.81,$-5.43,0.0
2021-12-31,263.34,$-5.44,0.0
2021-09-30,319.05,$-4.94,0.0
2021-06-30,394.16,$-4.47,0.0
2021-03-31,340.76,$-3.87,0.0
2020-12-31,338.5,$-3.31,0.0
2020-09-30,247.09,$-2.84,0.0
2020-06-30,219.42,$-2.69,0.0
2020-03-31,89.49,$-2.70,0.0
2019-12-31,98.28,$-2.33,0.0
2019-09-30,109.96,$-2.14,0.0
2019-06-30,136.35,$-1.78,0.0
2019-03-31,129.18,$-1.31,0.0
2018-12-31,89.3,$-1.25,0.0
2018-09-30,86.28,$-0.98,0.0
2018-06-30,56.02,$-0.95,0.0
2018-03-31,38.18,$-0.78,0.0
2017-12-31,23.6,$-0.69,0.0
2017-09-30,29.85,$-0.64,0.0
2017-06-30,29.11,$-0.84,0.0
2017-03-31,28.87,$-0.89,0.0
