LifeStance Health PE Ratio Historical Data,LifeStance Health PE Ratio Historical Data,LifeStance Health PE Ratio Historical Data,LifeStance Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.21,,0.0
2024-06-30,4.91,$-0.41,0.0
2024-03-31,6.17,$-0.48,0.0
2023-12-31,7.83,$-0.51,0.0
2023-09-30,6.87,$-0.52,0.0
2023-06-30,9.13,$-0.46,0.0
2023-03-31,7.43,$-0.52,0.0
2022-12-31,4.94,$-0.61,0.0
2022-09-30,6.62,$-0.80,0.0
2022-06-30,5.56,$-1.04,0.0
2022-03-31,10.11,$-1.07,0.0
