Dorian LPG PE Ratio Historical Data,Dorian LPG PE Ratio Historical Data,Dorian LPG PE Ratio Historical Data,Dorian LPG PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,32.98,,4.36
2024-06-30,40.83,$7.57,5.39
2024-03-31,36.56,$7.60,4.81
2023-12-31,40.56,$7.53,5.39
2023-09-30,25.69,$6.33,4.06
2023-06-30,22.14,$4.95,4.47
2023-03-31,16.43,$4.29,3.83
2022-12-31,14.94,$3.28,4.56
2022-09-30,10.16,$2.42,4.2
2022-06-30,10.69,$2.26,4.73
2022-03-31,8.76,$1.78,4.92
2021-12-31,7.14,$1.83,3.9
2021-09-30,6.98,$2.13,3.28
2021-06-30,7.35,$1.79,4.11
2021-03-31,6.84,$1.89,3.62
2020-12-31,6.35,$1.52,4.18
2020-09-30,4.17,$1.47,2.84
2020-06-30,4.03,$2.20,1.83
2020-03-31,4.54,$2.07,2.19
2019-12-31,8.06,$1.22,6.61
2019-09-30,5.4,$0.45,11.99
2019-06-30,4.7,$-0.44,0.0
2019-03-31,3.34,$-0.93,0.0
2018-12-31,3.04,$-0.70,0.0
2018-09-30,4.15,$-0.56,0.0
2018-06-30,3.98,$-0.63,0.0
2018-03-31,3.9,$-0.37,0.0
2017-12-31,4.28,$-0.27,0.0
2017-09-30,3.55,$-0.21,0.0
2017-06-30,4.26,$-0.12,0.0
2017-03-31,5.48,$-0.02,0.0
2016-12-31,4.28,$0.30,14.25
2016-09-30,3.12,$1.18,2.65
2016-06-30,3.67,$2.03,1.81
2016-03-31,4.9,$2.29,2.14
2015-12-31,6.13,$2.08,2.95
2015-09-30,5.37,$1.27,4.23
2015-06-30,8.69,$0.62,14.01
2015-03-31,6.79,$0.45,15.08
